Schulname;Bezirk;Schulbaumaßnahme;KostenInEuroBrutto;BSN;Strasse;PLZ;Schulart;lat;lng
Reinhardswald-Grundschule;Friedrichshain-Kreuzberg;Sporthalle: Au.enhülle, Dach;1030000;02G21;Gneisenaustr. 73-74;10961;Grundschule;52.49059;13.3999
Jens-Nydahl-Grundschule;Friedrichshain-Kreuzberg;Sporthalle: Energetische Sanierung, KMF, Elektro, Beleuchtung, Rauabzüge, Unterdecke, Prallwände, Sportboden, Fußbodenheizung, Akustik, Sanitär, Gründach;800000;02G22;Kohlfurter Str. 20;10999;Grundschule;52.497294;13.41619
Fichtelgebirge-Grundschule;Friedrichshain-Kreuzberg;Sporthalle: Au.enhülle, Dach, Heizung, Beleuchtung;1000000;02G23;Görlitzer Ufer 2;10997;Grundschule;52.49575;13.44495
Otto-Wels-Grundschule;Friedrichshain-Kreuzberg;"Hauptgebäude: Sanierung Sanitär,Brandschutz; 3. BA Sanierung Flure, Dach Fenster";950000;02G24;Alexandrinenstr. 12;10969;Grundschule;52.499923;13.401623
Lemgo-Grundschule;Friedrichshain-Kreuzberg;starke Beeinträchtigung auf Schulhof wegen Baustelleneinrichtung R.-Koch-Gymnasium;;02G26;Böckhstr. 5;10967;Grundschule;52.494198;13.416454
Adolf-Glaßbrenner-Grundschule;Friedrichshain-Kreuzberg;Sporthalle:Trinkwasserhygiene;115000;02G31;Hagelberger Str. 34;10965;Grundschule;52.49085;13.38065
Clara-Grunwald-Grundschule;Friedrichshain-Kreuzberg;Schulgebäude: Trinkwasserhygiene;200000;02G32;Hallesche Str. 24;10963;Grundschule;52.50077;13.38313
Schule am Königstor (Integrierte Sekundarschule);Friedrichshain-Kreuzberg;Schaffung Barrierefreiheit (Aufzug), 2. BA;110000;02K05;Weinstr. 3;10249;Integrierte Sekundarschule;52.525666;13.425987
Georg-Weerth-Schule;Friedrichshain-Kreuzberg;Umbau und Schaffung von Arbeitsräumen;100000;02K07;Eckertstr. 16;10249;Integrierte Sekundarschule;52.518996;13.450401
Refik-Veseli-Schule (Integrierte Sekundarschule);Friedrichshain-Kreuzberg;Sanierung Sanitär Sporthalle, 3. BA, Sanierung Boden und Heizung Sporthalle;440000;02K08;Skalitzer Str. 55;10997;Integrierte Sekundarschule;52.49962;13.43555
Ferdinand-Freiligrath-Schule (Integrierte Sekundarschule);Friedrichshain-Kreuzberg;Sanierung Fachräume, Aula, Fenster, Sanitär;1450000;02K10;Bergmannstr. 64;10961;Integrierte Sekundarschule;52.488798;13.40149
Gustav-Meyer-Schule;Friedrichshain-Kreuzberg;Brandschutz, KMF, Elektro, Beleuchtung, Sanitär, Sanierung SH inkl. Barrierefreiheit, Gesamtsanierung inkl. Schaffung Barrierefreiheit;2257000;02S02;Kohlfurter Str. 22;10999;"Förderschwerp.""Geistige Entwicklung""";52.497102;13.416721
Andreas-Oberschule;Friedrichshain-Kreuzberg;Feuchtesanierung, Fundamentunterfangung, Heizung;1500000;02Y01;Koppenstr. 76;10243;Gymnasium;52.514039;13.434606
Georg-Friedrich-Händel-Gymnasium;Friedrichshain-Kreuzberg;Neubau Aula/Veranstaltungsraum (Akustikmaßnahmen, hydraulisches Hubpodest), 4. BA;245000;02Y04;Frankfurter Allee 6A;10247;Gymnasium;52.515331;13.455796
Dathe-Gymnasium;Friedrichshain-Kreuzberg;Sanierung Räume, 2. BA, Sanierung Sanitär, Schaffung Barrierefreiheit (Aufzug);560000;02Y05;Helsingforser Str. 11-13;10243;Gymnasium;52.510001;13.445399
Leibniz-Gymnasium;Friedrichshain-Kreuzberg;Brandschutz, Hausalarm;400000;02Y06;Schleiermacherstr. 23;10961;Gymnasium;52.48978;13.39747
Robert-Koch-Gymnasium;Friedrichshain-Kreuzberg;Vorbereitung Aufstellung Unterrichtscontainer, Schulgebäude: Komplettsanierung;4834514;02Y07;Dieffenbachstr. 60;10967;Gymnasium;52.49323;13.41596
Hermann-Hesse-Oberschule;Friedrichshain-Kreuzberg;Sanierung Fachräume, Komplettsanierung Gebäude, Aufzug;931606;02Y08;Böckhstr. 16;10967;Gymnasium;52.493579;13.419151
Schule am Hamburger Platz (Grundschule);Pankow;Instandsetzung Klassenräume;70000;03G01;Gustav-Adolf-Str. 21;13086;Grundschule;52.55381;13.43681
Heinrich-Roller-Grundschule;Pankow;Sanierung Fassade und Fenster;715000;03G02;Heinrich-Roller-Str. 18;10405;Grundschule;52.53064;13.42364
Schule am Falkplatz (Grundschule);Pankow;Sanierung innenliegende Sporthalle und Treppenhäuser;850000;03G11;Gleimstr. 49;10437;Grundschule;52.54749;13.40538
Paul-Lincke-Grundschule;Pankow;Sanierung Technische Geb.udeausrüstung, Mensa, Barrierefreiheit;1600000;03G12;Pieskower Weg 39;10409;Grundschule;52.54129;13.44553
Bornholmer Grundschule;Pankow;Maler- und Fußbodenbelagsarbeiten Klassenräume;12000;03G14;Ibsenstr. 17;10439;Grundschule;52.55572;13.40768
Grundschule im Moselviertel;Pankow;Malerarbeiten Klassenräume;10000;03G20;Brodenbacher Weg 31;13088;Grundschule;52.559028;13.475454
Grundschule im Panketal;Pankow;Umbau Hausmeisterwohnung zur Schulnutzung;160000;03G24;Achillesstr. 31;13125;Grundschule;52.61986;13.486729
Elizabeth-Shaw-Grundschule;Pankow;Sanierung Sanitär und Umkleide Sporthalle;1400000;03G27;Grunowstr. 17;13187;Grundschule;52.56831;13.41044
Grundschule im Hasengrund;Pankow;Mensa, Restarbeiten Medientechnik;70000;03G28;Charlottenstr. 19;13156;Grundschule;52.59089;13.410577
Grundschule an den Buchen;Pankow;Brandschutzmaßnahmen;150000;03G32;Wilhelm-Wolff-Str. 19;13156;Grundschule;52.579207;13.394536
Elisabeth-Christinen-Grundschule;Pankow;Sanierung Haus B, Mensa;2000000;03G36;Lindenberger Str. 12;13156;Grundschule;52.58294;13.41741
Grundschule im Blumenviertel;Pankow;Bauwerksabdichtung, Drainage;550000;03G38;Syringenplatz 30;10407;Grundschule;52.535141;13.458074
Trelleborg-Schule (Grundschule);Pankow;"Sanierung Dach Thulestraße; Brandschutzmaßnahmen Rettungswege";100000;03G41;Eschengraben 40;13189;Grundschule;52.556012;13.421818
Georg-Zacharias-Grundschule;Pankow;Sanierung Sporthalle;485000;03G44;Sulzfelder Str. 15;13088;Grundschule;52.55219;13.47502
Heinz-Brandt-Schule;Pankow;Sanierung Fassade Sporthalle, Barrierefreiheit, Arbeitslehrezentrum Malerarbeiten Treppenhäuser;160000;03K05;Langhansstr. 120;13086;Integrierte Sekundarschule;52.551192;13.441808
Tesla-Schule (Gemeinschaftsschule);Pankow;Sanierung Dach, Fassade, Fenster;1700000;03K07;Rudi-Arndt-Str. 18;10407;Integrierte Sekundarschule;52.529086;13.446061
