Schulname;Bezirk;Schulbaumaßnahme;KostenInEuroBrutto
Joan-Miro-Grundschule;Charlottenburg-Wilmersdorf;Sanierung Fenster, 2. BA, Sanierung Elektro, 5. BA, Sanierung Räume, Fassade, Dach;1000000
Mierendorff-Grundschule;Charlottenburg-Wilmersdorf;Fortführung Sanierung Räume, Elektro, 2. BA, Sanierung Dach;1700000
Erwin-von-Witzleben-Grundschule;Charlottenburg-Wilmersdorf;Fortführung und Beendigung der Mensaerweiterung;185000
Schinkel-Grundschule;Charlottenburg-Wilmersdorf;Beginn der Sanitärstrangsanierung, Fortführung Sanierung der Aula;375000
Nehring-Grundschule;Charlottenburg-Wilmersdorf;Sanierung Fenster, 6. BA, Sanierung Räume, Elektro, Dach;1000000
Reinhold-Otto-Grundschule;Charlottenburg-Wilmersdorf;Sanierung Flure und Räume;190000
Charles-Dickens-Grundschule;Charlottenburg-Wilmersdorf;Herstellung eines zweiten Rettungsweges;100000
Ernst-Habermann-Grundschule;Charlottenburg-Wilmersdorf;Sanierung der Sporthalle und Umkleiden;170000
Katharina-Heinroth-Grundschule;Charlottenburg-Wilmersdorf;Sanierung Räume, Elektro, Sanierung der Aula;1200000
Halensee-Grundschule;Charlottenburg-Wilmersdorf;Fortführung und Beendigung der Sanierung Aula;180000
Grunewald-Grundschule;Charlottenburg-Wilmersdorf;Erneuerung der Trinkwarmwasseranlage, Sanierung und Ausbau der Direktorenvilla;600000
Alt-Schmargendorf-Grundschule;Charlottenburg-Wilmersdorf;Fortführung der Sanierung Räume incl. Elektro, Sanierung und Instandsetzung der Geb.udehülle (Teil II), Sanierung Räume, Elektro;1465000
Carl-Orff-Grundschule;Charlottenburg-Wilmersdorf;Erweiterung Mensa und Hort (Auguste-Viktoria-Str. 57–59), Fortführung der Sanierung Elektrotechnische Anlagen, Sicherheitsbeleuchtung, Sprachalarmierung und Hausalarm;501000
Birger-Forell-Grundschule;Charlottenburg-Wilmersdorf;Beginn der Sanierung Elektrotechnische Anlagen, Sicherheitsbeleuchtung, Sprachalarmierung;290000
Friedensburg-Schule;Charlottenburg-Wilmersdorf;Fortführung der Sanierung, Mensa, Musikräume und Flur Haus B, Sanierung Flure und Räume;944000
Robert-Jungk-Schule;Charlottenburg-Wilmersdorf;Sanierung der Lüftungsanlage und Duschräume der Doppelturnhalle, Umgestaltung Schulhofentwässerung;600000
Schule am Schloss (Integrierte Sekundarschule);Charlottenburg-Wilmersdorf;Sanierung Dach, 2. BA, Sanierung Räume, Fenster, Sanitär;902000
Integrierte Sekundarschule Wilmersdorf;Charlottenburg-Wilmersdorf;Sanierung Räume, Elektro, Dach, Fassade, Fenster;1000000
Otto-von-Guericke-Schule (Integrierte Sekundarschule);Charlottenburg-Wilmersdorf;Sanierung Räume, Elektro, 2. BA, Sanierung Fenster;900000
Comenius-Schule;Charlottenburg-Wilmersdorf;Sanierung Räume, 2. BA, Sanierung Fenster, Fassade, Dach, Sanitär und Sporthalle, Beendigung Aufzug, Behinderten-WC, Rampe;975000
Schiller-Gymnasium;Charlottenburg-Wilmersdorf;Sanierung Fenster, 3. BA, Sanierung Räume, Elektro, Dach, Fortführung der Sanierung Fenster, Sanierung Räume, Elektro, Dach;1600000
Wald-Gymnasium;Charlottenburg-Wilmersdorf;Fortführung und Beendigung der Sanierung der Sporthalle, Beginn der Sanierung komplette Infrastruktur Elektro, Hausalarm, 1. BA;1000000
Sophie-Charlotte-Gymnasium;Charlottenburg-Wilmersdorf;Fortführung Dachsanierung;200000
Gottfried-Keller-Gymnasium;Charlottenburg-Wilmersdorf;"Sanierung Sanitär, 2. BA, Sanierung Räume, Elektro, Dach; Fortführung Aufzug, Rampe";1175000
Herder-Gymnasium;Charlottenburg-Wilmersdorf;Sanierung der Schulsporthalle am Standort Preußenallee 8;622000
Heinz-Berggruen-Gymnasium;Charlottenburg-Wilmersdorf;Fortführung der Deckensanierung und Elektrotechnik;200000
Friedrich-Ebert-Gymnasium;Charlottenburg-Wilmersdorf;Sanierung Räume, Elektro, Fenster, Dach, Fassade;900000
Hildegard-Wegscheider-Gymnasium;Charlottenburg-Wilmersdorf;Sanierung der Umkleide- und Sanitärräume in der Gymnastikhalle;500000
Walther-Rathenau-Gymnasium;Charlottenburg-Wilmersdorf;"Sanierung Fenster, 2. BA; Sanierung Naturwissenschaftlicher Fachräume";246000
Marie-Curie-Gymnasium;Charlottenburg-Wilmersdorf;Fortführung der Fassadensanierung, Dach und Sonnenschutz, Sanierung Treppenräume;450000
Goethe-Gymnasium;Charlottenburg-Wilmersdorf;Fortführung und Beendigung der Sanitärstrangsanierung;250000
Ernst-Ludwig-Heim-Grundschule;Spandau;Umbau Hausmeisterwohnung;20000
Grundschule am Eichenwald;Spandau;Errichtung neue Netzstation;50000
Klosterfeld-Grundschule;Spandau;Umbau Hausmeisterwohnung;51505
Siegerland-Grundschule;Spandau;Sanierung der Schulanlage, Elektroinstallationen;1087819
Robert-Reinick-Grundschule;Spandau;Putz-und Malerarbeiten Flurbereich, Trockenbauarbeiten;13700
Grundschule am Weinmeisterhorn;Spandau;Umbau Hausmeisterwohnung, Dachsanierung;610000
Bernd-Ryke-Grundschule;Spandau;Sanierung Nordfassade, Malerarbeiten;25000
Linden-Grundschule;Spandau;Malerarbeiten;
Zeppelin-Grundschule;Spandau;Malerarbeiten, Bodenbelagsarbeiten;
Astrid-Lindgren-Grundschule;Spandau;Malerarbeiten;
Grundschule im Beerwinkel;Spandau;Malerarbeiten;
Grundschule am Ritterfeld;Spandau;Sanitärinstallation Duschräume;65000
Carl-Schurz-Grundschule;Spandau;Malerarbeiten;
Paul-Moor-Grundschule;Spandau;Brandschutzertüchtigung und Sanierung;300000
Grundschule am Brandwerder;Spandau;Malerarbeiten, Bodenbelagsarbeiten, Sporthalle: Bodenbelagsarbeiten;8000
Birken-Grundschule;Spandau;Dachdeckerarbeiten;
Martin-Buber-Oberschule (Integrierte Sekundarschule);Spandau;Sanierung Gymnastikhalle;
Carlo-Schmid-Oberschule (Integrierte Sekundarschule);Spandau;Hausmeisterwohnung;30000
Heinrich-Böll-Oberschule (Integrierte Sekundarschule);Spandau;Malerarbeiten;
B.-Traven-Gemeinschaftsschule;Spandau;Anschluss Sonnenschutz, Turnhalle/Umkleiden, Malerarbeiten (Filiale Siegerland-Grundschule);37000
Schule an der Jungfernheide (Integrierte Sekundarschule);Spandau;Malerarbeiten;
Schule am Staakener Kleeblatt (Integrierte Sekundarschule);Spandau;Haus 1, 4/5 HLS-Sanierung, Haus 1, 4/5 Elektroinstallationen;852173
Schule am Gartenfeld;Spandau;Fenstereinbau, Brandschutzertüchtigung und Sanierung;250000
Conrad-Schule (Grundschule);Steglitz-Zehlendorf;Bodenbelagsarbeiten;10000
Zinnowwald-Grundschule;Steglitz-Zehlendorf;Um-/Ausbau von 3 Seminarräumen;50000
Dunant-Grundschule;Steglitz-Zehlendorf;Sanierung Mensa: Flur Decke Brandschutz/Schadstoffsanierung EG, Schimmelsanierung Sporthalle, Sanierung Fenster Altbau;345000
Alt-Lankwitzer Grundschule;Steglitz-Zehlendorf;Abriss des MUR-Gebäudes;48500
Giesensdorfer Grundschule;Steglitz-Zehlendorf;Schadstoffsanierung Werkraum/Tischlerarbeiten, Abriss des MUR-Gebäudes;113000
Clemens-Brentano-Grundschule;Steglitz-Zehlendorf;Sanierungsarbeiten Haus 4;900000
Käthe-Kruse-Grundschule;Steglitz-Zehlendorf;Fenster: Tischler- und Malerarbeiten;10000
Mercator-Grundschule;Steglitz-Zehlendorf;Abriss des MUR-Gebäudes;70000
Friedrich-Drake-Grundschule;Steglitz-Zehlendorf;Errichtung Verbinderbau, Sanierungsarbeiten Erweiterungsbau und Geb.udehülle, Herstellung Außenanlagen;1145000
34. Schule (Grundschule);Steglitz-Zehlendorf;Sanierungs- und Reparaturarbeiten, Herrichtung von Klassenräumen;400000
Kopernikus-Schule (Integrierte Sekundarschule);Steglitz-Zehlendorf;Bodenbelagsarbeiten;10000
Max-von-Laue-Schule;Steglitz-Zehlendorf;Fenster: Tischler- und Malerarbeiten;10000
Dreilinden-Gymnasium;Steglitz-Zehlendorf;Herstellung Außenanlagen;100000
Beethoven-Gymnasium;Steglitz-Zehlendorf;Sanierung 1.BA, 70er-Jahre-Bau;1200000
Lilienthal-Gymnasium;Steglitz-Zehlendorf;Sanierung Sporthalle;1600000
Willi-Graf-Gymnasium;Steglitz-Zehlendorf;Sanierung Sanitäranlagen;370000
Gymnasium Steglitz;Steglitz-Zehlendorf;Sanierung Außenanlagen Sport-Schulhof;175000
Spreewald-Grundschule;Tempelhof-Schöneberg;Prov. Herrichtung des Rettungsweges für den Hortbereich, Errichtung eines Außenzaunes;605000
Finow-Grundschule;Tempelhof-Schöneberg;Div. Teilsanierungen einschl. Barrierefreiheit, funktionale Anpassungen;150000
Werbellinsee-Grundschule;Tempelhof-Schöneberg;Einbau einer neuen Schließanlage;60000
Havelland-Grundschule;Tempelhof-Schöneberg;Teilsanierung Fassade, Sanierung des Verbinderganges Fassade;2500000
Lindenhof-Grundschule;Tempelhof-Schöneberg;Weiterführung der Sanierung Geb. Reglinstraße;100000
Scharmützelsee-Grundschule;Tempelhof-Schöneberg;Sanierung der Toiletten und Außenanlagen;20000
Neumark-Grundschule;Tempelhof-Schöneberg;Sanierung Befall echter Hausschwamm;1200000
Löcknitz-Grundschule;Tempelhof-Schöneberg;Sanierung der Klassenräume;150000
Ruppin-Grundschule;Tempelhof-Schöneberg;Sanierung der Sichtmauerwerksfassade;1600000
Stechlinsee-Grundschule;Tempelhof-Schöneberg;Einbau einer neuen Schließanlage;50000
Paul-Klee-Grundschule;Tempelhof-Schöneberg;Sanierung und erweiterter Ausbau KG;1013000
Tempelherren-Grundschule;Tempelhof-Schöneberg;Erneuerung der Sicherheitsbeleuchtung;120000
Kiepert-Grundschule;Tempelhof-Schöneberg;Energetische Fassadensanierung der MUR;850000
Käthe-Kollwitz-Grundschule;Tempelhof-Schöneberg;Brandschutzsanierung, Barrierefreiheit, Grundinstandsetzung;1000000
Annedore-Leber-Grundschule;Tempelhof-Schöneberg;Sanierung des Daches über dem Freizeitbereich;80000
Bruno-H.-Bürgel-Grundschule;Tempelhof-Schöneberg;Fassadensanierung;1500000
Marienfelder Schule (Grundschule);Tempelhof-Schöneberg;Sanierung der Klassenräume und Außenanlagen, Brandschutzsanierung, Barrierefreiheit, sonstige Funktionsanpassungen, Energetische Sanierung;3250000
Gustav-Heinemann-Oberschule;Tempelhof-Schöneberg;Sanierung des Regenwassersystems im Bereich der Sporthalle;1200000
Theodor-Haubach-Schule;Tempelhof-Schöneberg;Teilerneuerung der Elektroinstallationen mit Unterdecken;250000
Georg-von-Giesche-Schule;Tempelhof-Schöneberg;Feuchtesanierung KG, funkltionale Anpassungen, Toilettensanierung;800000
Johanna-Eck-Schule (Integrierte Sekundarschule);Tempelhof-Schöneberg;Teilsanierung der Freianlagen;125000
Gustav-Langenscheidt-Schule;Tempelhof-Schöneberg;Div. Teilsanierungen zur Aufrechterhaltung des Betriebes, Einbau einer neuen Schließanlage;100000
Friedrich-Bergius-Schule;Tempelhof-Schöneberg;Sanierung der Aula einschließlich Dachtragwerk und Fassade;200000
Hugo-Gaudig-Schule;Tempelhof-Schöneberg;Einbau einer neuen Schließanlage;80000
Schule am Berlinickeplatz (Integrierte Sekundarschule);Tempelhof-Schöneberg;Div. Teilsanierungen mit funktionalen Verbesserungen;80000
Steinwald-Schule;Tempelhof-Schöneberg;Instandsetzungsmaßnahmen Fassade;200000
Marianne-Cohn-Schule;Tempelhof-Schöneberg;Instandsetzung der Lüftungsanlage;50000
Rückert-Gymnasium;Tempelhof-Schöneberg;Div. Teilsanierungen zur Aufrechterhaltung des Betriebes;100000
Rheingau-Gymnasium;Tempelhof-Schöneberg;Sanierung und Umbau der Sporthalle, Sanierung der Einfriedung, Umbau der ehem. Hausmeisterwohnung (Vorbereitung);2650000
Luise-Henriette-Gymnasium;Tempelhof-Schöneberg;Sanierung, Umbau und Erweiterung;3000000
Theodor-Storm-Schule (Grundschule);Neukölln;Sanierung Brandschutz;385000
Hans-Fallada-Schule (Grundschule);Neukölln;Sanierung MUR-Dach und Abhangdecken (Flure+Klassenräume), Sanierung Sanitär, Dach, Fassade, Innenausbau;1615000
Hermann-Sander-Schule (Grundschule);Neukölln;Sanierung der Ziegeldacheindeckung;150000
Eduard-Mörike-Schule (Grundschule);Neukölln;Sanierung der Akustik in den Klassenraum;50000
Michael-Ende-Schule (Grundschule);Neukölln;Sanierung Umkleiden und Duschen sowie Decken- und Schadstoffsanierung;350000
Matthias-Claudius-Schule (Grundschule);Neukölln;Sanierung Fenster und Erneuerung Bodenbeläge;450000
Rose-Oehmichen-Schule (Grundschule);Neukölln;Sanierung der Fassade: Risse im WDVS und Sockelbereich;50000
Walter-Gropius-Schule (Gemeinschaftsschule);Neukölln;Sanierung Sanitärräume (B+C-Sterne)/Schaffung 2. Rettungsweg, Schaffung 2. RW in den B-Sternen (B1 bis B3)/Bypässe;145000
Hermann-von-Helmholtz-Schule;Neukölln;Energetische Sanierung Dach/Fassade/Sonnenschutz;1000000
