BSN;Schulname;AlleLehrkraefte;AlleQS;Q1_5;Q6_x;S1_5;S6_x
01Y08;Lessing-Gymnasium;78;4 %;4 %;;;
03Y08;Carl-von-Ossietzky-Gymnasium;78;4 %;3 %;;1 %;
06K03;Kopernikus-Schule (Integrierte Sekundarschule);83;4 %;4 %;;;
09K02;Anna-Seghers-Schule (Gemeinschaftsschule);89;4 %;3 %;;1 %;
05B01;OSZ TIEM (Technische Informatik, Industrieelektronik und EnergieManagement);102;4 %;3 %;;1 %;
08B02;Lise-Meitner-Schule (OSZ Chemie, Physik und Biologie);126;4 %;3 %;;1 %;
12K02;Bettina-von-Arnim-Schule;133;4 %;3 %;;1 %;
02G34;Jane-Goodall-Grundschule;29;3 %;;;3 %;
04G26;Birger-Forell-Grundschule;29;3 %;3 %;;;
04S02;Arno-Fuchs-Schule;29;3 %;;;3 %;
07G07;Lindenhof-Grundschule;29;3 %;3 %;;;
11G03;Schule im Gutspark (Grundschule);29;3 %;3 %;;;
12G13;Franz-Marc-Grundschule;29;3 %;3 %;;;
01S06;Albert-Gutzmann-Schule;30;3 %;3 %;;;
03G16;Grundschule am Teutoburger Platz;30;3 %;3 %;;;
05S03;Schule am Gartenfeld;30;3 %;3 %;;;
06G29;Grundschule am Karpfenteich;30;3 %;;;3 %;
07G27;Rudolf-Hildebrand-Grundschule;30;3 %;3 %;;;
10G32;Kiekemal-Schule (Grundschule);30;3 %;3 %;;;
04G14;Reinhold-Otto-Grundschule;31;3 %;3 %;;;
08S01;Adolf-Reichwein-Schule;31;3 %;3 %;;;
03K09;Janusz-Korczak-Schule (Integrierte Sekundarschule);32;3 %;3 %;;;
06G24;Grundschule unter den Kastanien;32;3 %;3 %;;;
07G18;Grundschule am Barbarossaplatz;32;3 %;;;3 %;
09G09;Heide-Schule (Grundschule);32;3 %;3 %;;;
12G19;Münchhausen-Grundschule;32;3 %;3 %;;;
05G08;Konkordia-Grundschule;34;3 %;3 %;;;
06G08;Schweizerhof-Grundschule;34;3 %;3 %;;;
10G25;Grundschule am Schleipfuhl;34;3 %;3 %;;;
10K06;Georg-Klingenberg-Schule;34;3 %;3 %;;;
11G11;Bernhard-Grzimek-Schule (Grundschule);34;3 %;;;3 %;
11G25;Schule am Wäldchen (Grundschule);34;3 %;;;3 %;
11K06;Schule am Rathaus;34;3 %;3 %;;;
02K10;Ferdinand-Freiligrath-Schule (Integrierte Sekundarschule);35;3 %;3 %;;;
05S04;Schule am Stadtrand;35;3 %;3 %;;;
04G22;Grunewald-Grundschule;36;3 %;3 %;;;
12K09;Carl-Benz-Schule (Integrierte Sekundarschule);36;3 %;3 %;;;
03G38;Grundschule im Blumenviertel;37;3 %;3 %;;;
07G12;Scharmützelsee-Grundschule;37;3 %;3 %;;;
09A07;Flatow-Oberschule;37;3 %;;;3 %;
11G14;Richard-Wagner-Schule (Grundschule);37;3 %;;;3 %;
03K03;Konrad-Duden-Schule (Integrierte Sekundarschule);38;3 %;3 %;;;
10K08;Johann-Julius-Hecker-Schule;38;3 %;;;3 %;
04G17;Johann-Peter-Hebel-Grundschule;39;3 %;3 %;;;
07K09;Gustav-Langenscheidt-Schule;39;3 %;3 %;;;
03G10;Grundschule am Hohen Feld;40;3 %;;;3 %;
12K04;Paul-Löbe-Schule;63;3 %;3 %;;;
01Y02;John-Lennon-Gymnasium;69;3 %;3 %;;;
02K01;Ellen-Key-Schule;72;3 %;;;3 %;
04Y01;Schiller-Gymnasium;79;3 %;3 %;;;
06B03;OSZ Bürowirtschaft I;83;3 %;1 %;;2 %;
12Y02;Europäisches Gymnasium Bertha-von-Suttner;90;3 %;3 %;;;
03K01;Kurt-Schwitters-Schule;92;3 %;1 %;;2 %;
06K04;Bröndby-Schule (Integrierte Sekundarschule);93;3 %;3 %;;;
08K08;Gemeinschaftsschule auf dem Campus Rütli;94;3 %;1 %;;2 %;
12K03;Max-Beckmann-Schule (Integrierte Sekundarschule);94;3 %;2 %;;1 %;
04K05;Paula-Fürst-Schule (Gemeinschaftsschule);100;3 %;2 %;;1 %;
07K03;Gustav-Heinemann-Oberschule;108;3 %;3 %;;;
07B03;OSZ Lotis (Logistik, Touristik und Steuern);115;3 %;3 %;;;
05B02;Knobelsdorff-Schule (OSZ Bautechnik I);147;3 %;2 %;;1 %;
02B04;OSZ Handel 1;195;3 %;1 %;;2 %;
02G13;Charlotte-Salomon-Grundschule;41;2 %;2 %;;;
07G17;Stechlinsee-Grundschule;41;2 %;2 %;;;
04K09;Otto-von-Guericke-Schule (Integrierte Sekundarschule);42;2 %;2 %;;;
11G29;Matibi-Schule (Grundschule);42;2 %;2 %;;;
11K08;George-Orwell-Schule;42;2 %;2 %;;;
07G02;Finow-Grundschule;43;2 %;2 %;;;
06S05;J.-A.-Zeune-Schule für Blinde und Berufsfachschule Dr. Silex;44;2 %;;;2 %;
04K06;Schule am Schloss (Integrierte Sekundarschule);45;2 %;;;2 %;
03B06;Konrad-Zuse-Schule;46;2 %;;;2 %;
04Y11;Goethe-Gymnasium;48;2 %;;;2 %;
06S02;Biesalski-Schule;48;2 %;;;2 %;
06G06;Mühlenau-Grundschule;50;2 %;2 %;;;
07Y09;Georg-Büchner-Gymnasium;50;2 %;;;2 %;
04B01;Loschmidt-Oberschule;51;2 %;2 %;;;
11Y10;Manfred-von-Ardenne-Gymnasium;52;2 %;;;2 %;
06Y04;Dreilinden-Gymnasium;53;2 %;2 %;;;
11Y05;Hans-und-Hilde-Coppi-Oberschule;53;2 %;2 %;;;
09Y06;Gerhart-Hauptmann-Gymnasium;55;2 %;;;2 %;
07Y02;Rückert-Gymnasium;56;2 %;2 %;;;
05Y05;Lily-Braun-Gymnasium;57;2 %;2 %;;;
06Y10;Lilienthal-Gymnasium;58;2 %;;;2 %;
06Y05;Werner-von-Siemens-Gymnasium;60;2 %;;;2 %;
09Y04;Anne-Frank-Gymnasium;60;2 %;2 %;;;
11Y11;Immanuel-Kant-Gymnasium;60;2 %;2 %;;;
04Y10;Marie-Curie-Gymnasium;61;2 %;2 %;;;
07Y07;Eckener-Gymnasium;61;2 %;2 %;;;
08Y06;Hannah-Arendt-Gymnasium;61;2 %;2 %;;;
04S04;Reinfelder-Schule;62;2 %;2 %;;;
06Y03;Arndt-Gymnasium Dahlem;62;2 %;;;2 %;
02Y06;Leibniz-Gymnasium;63;2 %;;;2 %;
10K02;Ernst-Haeckel-Schule;63;2 %;2 %;;;
06Y11;Goethe-Gymnasium Lichterfelde;65;2 %;2 %;;;
09Y10;Gebrüder-Montgolfier-Gymnasium;69;2 %;1 %;;1 %;
06Y13;Gymnasium Steglitz;72;2 %;1 %;;1 %;
06Y09;Fichtenberg-Oberschule;73;2 %;1 %;;1 %;
12Y07;Romain-Rolland-Gymnasium;77;2 %;1 %;;1 %;
12Y01;Friedrich-Engels-Gymnasium;82;2 %;2 %;;;
10B02;Rahel-Hirsch-Schule (OSZ Gesundheit/Medizin);87;2 %;1 %;;1 %;
03Y10;Rosa-Luxemburg-Gymnasium;92;2 %;;;2 %;
06Y01;Schadow-Gymnasium;94;2 %;;;2 %;
05K01;Martin-Buber-Oberschule (Integrierte Sekundarschule);95;2 %;2 %;;;
08K01;Walter-Gropius-Schule (Gemeinschaftsschule);95;2 %;2 %;;;
04S07;Comenius-Schule;96;2 %;2 %;;;
01B01;OSZ Banken, Immobilien und Versicherungen;99;2 %;2 %;;;
04K03;Robert-Jungk-Schule;103;2 %;;;2 %;
11A07;Schul- und Leistungssportzentrum Berlin (Sportforum);142;2 %;;;2 %;
09K07;Sophie-Brahe-Gemeinschaftsschule;67;1 %;1 %;;;
02Y05;Dathe-Gymnasium;69;1 %;;;1 %;
12Y04;Gabriele-von-Bülow-Gymnasium;69;1 %;1 %;;;
02Y01;Andreas-Gymnasium;70;1 %;1 %;;;
04Y07;Friedrich-Ebert-Gymnasium;70;1 %;1 %;;;
04Y06;Heinz-Berggruen-Gymnasium;71;1 %;1 %;;;
09Y11;Emmy-Noether-Gymnasium;71;1 %;1 %;;;
11Y02;Johann-Gottfried-Herder-Gymnasium;71;1 %;1 %;;;
03Y16;Robert-Havemann-Gymnasium;74;1 %;1 %;;;
11K02;Mildred-Harnack-Schule;76;1 %;1 %;;;
10B01;Oscar-Tietz-Schule (OSZ Handel II);79;1 %;1 %;;;
09K09;Grünauer Gemeinschaftsschule;80;1 %;1 %;;;
01Y12;Gymnasium Tiergarten;81;1 %;;;1 %;
05Y03;Hans-Carossa-Gymnasium;83;1 %;1 %;;;
06K02;Wilma-Rudolph-Schule (Integrierte Sekundarschule);92;1 %;1 %;;;
03Y14;Primo-Levi-Gymnasium;96;1 %;;;1 %;
06B02;Louise-Schroeder-Schule (OSZ Bürowirtschaft und Verwaltung);139;1 %;;;1 %;
