BSN;Schulname;AlleLehrkraefte;AlleQS;Q1_5;Q6_x;S1_5;S6_x
07G37;Ikarus-Grundschule;34;12 %;12 %;;;
09G11;Schule am Pegasuseck (Grundschule);34;12 %;12 %;;;
09K04;Isaac-Newton-Schule (Integrierte Sekundarschule);34;12 %;9 %;;3 %;
02G33;Aziz-Nesin-Grundschule;35;12 %;9 %;;3 %;
02K09;Albrecht-von-Graefe-Schule (Integrierte Sekundarschule);35;12 %;9 %;;3 %;
09G18;Schule in der Köllnischen Vorstadt (Grundschule);35;12 %;3 %;;9 %;
02G23;Fichtelgebirge-Grundschule;36;12 %;6 %;;6 %;
08K04;Heinrich-Mann-Schule;42;12 %;12 %;;;
05G13;Bernd-Ryke-Grundschule;43;12 %;12 %;;;
09G21;Edison-Grundschule;43;12 %;12 %;;;
08K12;Kepler-Schule;48;12 %;8 %;;4 %;
12G27;Chamisso-Grundschule;49;12 %;;12 %;;
02G18;Nürtingen-Grundschule;52;12 %;8 %;;4 %;
03B02;Berufliche Schule für Sozialwesen Pankow;62;12 %;6 %;;6 %;
08S04;Schule am Zwickauer Damm;28;11 %;7 %;;4 %;
06G22;Giesensdorfer Grundschule;27;11 %;11 %;;;
12G15;Hoffmann-von-Fallersleben-Grundschule;27;11 %;11 %;;;
03G37;Klecks-Grundschule;28;11 %;11 %;;;
12G14;Alfred-Brehm-Grundschule;28;11 %;11 %;;;
03G12;Paul-Lincke-Grundschule;37;11 %;8 %;;3 %;
02G04;Pettenkofer-Grundschule;38;11 %;8 %;;3 %;
02S03;Margarethe-von-Witzleben-Schule;38;11 %;11 %;;;
01G08;Grundschule am Brandenburger Tor;39;11 %;3 %;;8 %;
08G03;Hans-Fallada-Schule (Grundschule);39;11 %;8 %;;3 %;
02K06;Emanuel-Lasker-Schule;43;11 %;9 %;;2 %;
07G10;Teltow-Grundschule;43;11 %;9 %;;2 %;
07G35;Nahariya-Grundschule;44;11 %;11 %;;;
03K07;Tesla-Schule (Gemeinschaftsschule);45;11 %;11 %;;;
05K05;B.-Traven-Gemeinschaftsschule;46;11 %;9 %;;2 %;
05G05;Christoph-Földerich-Grundschule;47;11 %;9 %;;2 %;
01G46;Grundschule am Koppenplatz;59;11 %;8 %;;3 %;
02K02;Carl-von-Ossietzky-Schule (Gemeinschaftsschule);125;11 %;;5 %;;6 %
03G47;47. Schule (Grundschule);21;10 %;10 %;;;
12S01;Stötzner-Schule;21;10 %;10 %;;;
01G36;Andersen-Grundschule;29;10 %;10 %;;;
03G27;Elizabeth-Shaw-Grundschule;29;10 %;10 %;;;
09G27;Friedrichshagener Schule (Grundschule);29;10 %;7 %;;3 %;
10S04;Schule am Pappelhof;29;10 %;7 %;;3 %;
03G40;Schule am Birkenhof;30;10 %;10 %;;;
03G45;Grundschule im Hofgarten;30;10 %;10 %;;;
10G31;Franz-Carl-Achard-Grundschule;30;10 %;10 %;;;
04G01;Eichendorff-Grundschule;31;10 %;10 %;;;
08G13;Bruno-Taut-Schule (Grundschule);31;10 %;10 %;;;
09G15;Schule am Mohnweg (Grundschule);37;10 %;5 %;;5 %;
02G10;Modersohn-Grundschule;38;10 %;5 %;;5 %;
05G14;Linden-Grundschule;42;10 %;10 %;;;
12G34;Otfried-Preußler-Grundschule;42;10 %;10 %;;;
01K07;Hemingway-Schule;48;10 %;6 %;;4 %;
07K11;Hugo-Gaudig-Schule;50;10 %;6 %;;4 %;
02G36;Blumen-Grundschule;51;10 %;8 %;;2 %;
04G19;Grundschule am Rüdesheimer Platz;58;10 %;;10 %;;
08K11;Alfred-Nobel-Schule;58;10 %;;10 %;;
12K07;Jean-Krämer-Schule (Integrierte Sekundarschule) Wittenau;58;10 %;;10 %;;
06B01;Peter-Lenné-Schule (OSZ Natur und Umwelt);83;10 %;5 %;;5 %;
12B02;Emil-Fischer-Schule (OSZ Ernährung und Lebensmitteltechnik);119;10 %;3 %;;;7 %
04K04;Nelson-Mandela-Schule;135;10 %;;;;10 %
04B05;Anna-Freud-Schule (OSZ Sozialwesen);136;10 %;;7 %;3 %;
06K01;John-F.-Kennedy-Schule;154;10 %;;;;10 %
02G29;Heinrich-Zille-Grundschule;42;9 %;2 %;;7 %;
03G34;Mendel-Grundschule;45;9 %;7 %;;2 %;
07G30;Annedore-Leber-Grundschule;45;9 %;7 %;;2 %;
08G35;Schule in der Köllnischen Heide (Grundschule);46;9 %;7 %;;2 %;
08Y02;Albert-Schweitzer-Gymnasium;54;9 %;7 %;;2 %;
01K02;Ernst-Schering-Schule;56;9 %;7 %;;2 %;
08B04;OSZ Informations- und Medizintechnik;135;9 %;;7 %;2 %;
11S04;Paul-und-Charlotte-Kniese-Schule;11;9 %;9 %;;;
05G16;Zeppelin-Grundschule;22;9 %;9 %;;;
01G01;Grundschule am Arkonaplatz;31;9 %;6 %;;3 %;
09G10;Schule am Berg (Grundschule);32;9 %;9 %;;;
05G02;Grundschule am Eichenwald;33;9 %;9 %;;;
05G29;Mary-Poppins-Grundschule;33;9 %;9 %;;;
06G17;Grundschule am Insulaner;33;9 %;6 %;;3 %;
06G21;Paul-Schneider-Grundschule;33;9 %;9 %;;;
09G05;Schule am Ginkobaum (Grundschule);33;9 %;9 %;;;
03G26;Arnold-Zweig-Grundschule;34;9 %;6 %;;3 %;
09S06;Schule am Wildgarten;34;9 %;6 %;;3 %;
11G09;Bürgermeister-Ziethen-Schule (Grundschule);34;9 %;9 %;;;
01S01;Schule am Zille-Park;35;9 %;6 %;;3 %;
10G29;Grundschule an der Wuhle;36;9 %;6 %;;3 %;
03S10;Marianne-Buggenhagen-Schule;45;9 %;9 %;;;
03K06;Reinhold-Burger-Schule;47;9 %;9 %;;;
01G45;Leo-Lionni-Grundschule;53;9 %;9 %;;;
10K12;Gretel-Bergmann-Gemeinschaftsschule;99;9 %;;8 %;1 %;
08K06;Fritz-Karsen-Schule (Gemeinschaftsschule);125;9 %;;9 %;;
02G19;Fanny-Hensel-Grundschule;24;8 %;8 %;;;
09G23;Hauptmann-von-Köpenick-Schule (Grundschule);24;8 %;8 %;;;
02G11;Thalia-Grundschule;25;8 %;8 %;;;
08G14;Konrad-Agahd-Schule (Grundschule);25;8 %;8 %;;;
09G25;Müggelschlößchen-Schule (Grundschule);25;8 %;4 %;;4 %;
12G11;Ringelnatz-Grundschule;25;8 %;8 %;;;
01G04;Kastanienbaum-Grundschule;26;8 %;8 %;;;
05G12;Grundschule am Weinmeisterhorn;26;8 %;8 %;;;
06G02;Süd-Grundschule;26;8 %;4 %;;4 %;
08G22;Schule am Regenweiher (Grundschule);26;8 %;;;8 %;
09S04;Ahorn-Schule;28;8 %;4 %;;4 %;
11G06;Adam-Ries-Schule (Grundschule);28;8 %;4 %;;4 %;
12G20;Grundschule am Vierrutenberg;28;8 %;4 %;;4 %;
02G01;Spartacus-Grundschule;36;8 %;8 %;;;
08G27;Oskar-Heinroth-Schule (Grundschule);36;8 %;8 %;;;
02G31;Adolf-Glaßbrenner-Grundschule;37;8 %;5 %;;3 %;
06G18;Athene-Grundschule;37;8 %;5 %;;3 %;
07K04;Theodor-Haubach-Schule;37;8 %;8 %;;;
03G14;Bornholmer Grundschule;38;8 %;8 %;;;
03K08;Hagenbeck-Schule;38;8 %;5 %;;3 %;
07B02;Marie-Elisabeth-Lüders-Oberschule;38;8 %;3 %;;5 %;
02G03;Justus-von-Liebig-Grundschule;39;8 %;8 %;;;
02G16;Lenau-Grundschule;39;8 %;8 %;;;
06G32;Grundschule am Stadtpark Steglitz;39;8 %;8 %;;;
08G08;Karlsgarten-Schule (Grundschule);39;8 %;8 %;;;
11G17;Brodowin-Schule (Grundschule);39;8 %;8 %;;;
02S02;Gustav-Meyer-Schule;40;8 %;8 %;;;
06G15;Dunant-Grundschule;40;8 %;8 %;;;
10G33;Ulmen-Grundschule;40;8 %;8 %;;;
12G23;Victor-Gollancz-Grundschule;40;8 %;;;8 %;
12G26;Märkische Grundschule;40;8 %;3 %;;5 %;
08G30;Schule am Sandsteinweg (Grundschule);47;8 %;4 %;;4 %;
11G28;Feldmark-Schule (Grundschule);49;8 %;8 %;;;
02K08;Refik-Veseli-Schule (Integrierte Sekundarschule);59;8 %;8 %;;;
02B02;Hans-Böckler-Schule (OSZ Konstruktionsbautechnik);65;8 %;6 %;;2 %;
04B07;OSZ Körperpflege;68;8 %;1 %;;7 %;
01K08;Schule am Schillerpark (Integrierte Sekundarschule);74;8 %;4 %;;4 %;
08K03;Otto-Hahn-Schule;79;8 %;5 %;;3 %;
11B04;Friedrich-List-Schule (OSZ Büromanagement und Wirtschaftssprachen);84;8 %;2 %;;6 %;
09B03;Hermann-Scheer-Schule (OSZ Wirtschaft);85;8 %;6 %;;2 %;
07K12;Friedenauer Gemeinschaftsschule;91;8 %;5 %;;3 %;
01K10;Theodor-Heuss-Gemeinschaftsschule;103;8 %;5 %;;3 %;
12Y03;Humboldt-Gymnasium;103;8 %;;6 %;2 %;
01G07;GutsMuths-Grundschule;27;7 %;7 %;;;
01G15;Anne-Frank-Grundschule;27;7 %;7 %;;;
02G09;Zille-Grundschule;27;7 %;7 %;;;
03G20;Grundschule im Moselviertel;27;7 %;7 %;;;
06G27;Grundschule am Königsgraben;27;7 %;7 %;;;
09G03;Schule am Heidekampgraben (Grundschule);27;7 %;7 %;;;
03Y17;Gymnasium am Europasportpark;28;7 %;7 %;;;
07G13;Neumark-Grundschule;28;7 %;7 %;;;
09G26;Schule an den Püttbergen (Grundschule);28;7 %;;;7 %;
12G21;Grundschule am Fließtal;28;7 %;7 %;;;
03G04;Grundschule an der Marie;29;7 %;7 %;;;
03G13;Rudolf-Dörrier-Grundschule;29;7 %;7 %;;;
03G17;Grundschule am Weißen See;29;7 %;7 %;;;
06G04;Erich-Kästner-Grundschule;29;7 %;7 %;;;
06G05;Conrad-Schule (Grundschule);29;7 %;7 %;;;
11G21;Schule Am Faulen See (Grundschule);29;7 %;7 %;;;
12G22;Gustav-Dreyer-Grundschule;29;7 %;7 %;;;
06G20;Alt-Lankwitzer Grundschule;30;7 %;7 %;;;
10K09;Konrad-Wachsmann-Schule;41;7 %;7 %;;;
03G11;Schule am Falkplatz (Grundschule);42;7 %;7 %;;;
04Y08;Hildegard-Wegscheider-Gymnasium;42;7 %;7 %;;;
07G16;Ruppin-Grundschule;42;7 %;7 %;;;
06S01;Pestalozzi-Schule;43;7 %;7 %;;;
07G03;Werbellinsee-Grundschule;43;7 %;7 %;;;
04G12;Schinkel-Grundschule;44;7 %;7 %;;;
08K10;Zuckmayer-Schule;44;7 %;5 %;;2 %;
10K05;Jean-Piaget-Schule;44;7 %;5 %;;2 %;
10A04;Victor-Klemperer-Kolleg;46;7 %;7 %;;;
02G24;Otto-Wels-Grundschule;56;7 %;7 %;;;
07K07;Johanna-Eck-Schule (Integrierte Sekundarschule);57;7 %;7 %;;;
10Y11;Melanchthon-Gymnasium;64;7 %;5 %;;2 %;
11K05;Fritz-Reuter-Schule;65;7 %;5 %;;2 %;
01K04;Heinrich-von-Stephan-Gemeinschaftsschule;72;7 %;3 %;;4 %;
05K08;Schule an der Haveldüne (Integrierte Sekundarschule);72;7 %;7 %;;;
04B03;OSZ Kraftfahrzeugtechnik;74;7 %;7 %;;;
03B07;Elinor-Ostrom-Schule (OSZ Bürowirtschaft und Dienstleistungen);90;7 %;4 %;;3 %;
02B01;August-Sander-Schule;95;7 %;4 %;;3 %;
06B04;Wilhelm-Ostwald-Schule (OSZ Gestaltung);95;7 %;5 %;;2 %;
05K03;Bertolt-Brecht-Oberschule (Integrierte Sekundarschule);111;7 %;;7 %;;
03B10;Max-Bill-Schule (OSZ Planen, Bauen, Gestalten);171;7 %;2 %;;;5 %
05K02;Carlo-Schmid-Oberschule (Integrierte Sekundarschule);107;7 %;;6 %;1 %;
04B02;Hans-Litten-Schule (OSZ Recht und Wirtschaft);127;7 %;;6 %;1 %;
03K02;Kurt-Tucholsky-Schule (Integrierte Sekundarschule);77;6 %;5 %;;1 %;
09K01;Merian-Schule (Integrierte Sekundarschule);77;6 %;5 %;;1 %;
06A05;Volkshochschule Steglitz-Zehlendorf;17;6 %;6 %;;;
06G33;Friedrich-Drake-Grundschule;17;6 %;6 %;;;
02S06;Liebmann-Schule;18;6 %;6 %;;;
03A04;Abendgymnasium Prenzlauer Berg;18;6 %;;;6 %;
12G04;Till-Eulenspiegel-Grundschule;29;6 %;3 %;;3 %;
03G01;Schule am Hamburger Platz (Grundschule);31;6 %;6 %;;;
10G03;Selma-Lagerlöf-Grundschule;31;6 %;6 %;;;
05G19;Grundschule am Ritterfeld;32;6 %;6 %;;;
06G01;Nord-Grundschule;32;6 %;6 %;;;
10G11;Grundschule an der Mühle;32;6 %;6 %;;;
03G39;Grundschule Wolkenstein;33;6 %;6 %;;;
04G09;Erwin-von-Witzleben-Grundschule;33;6 %;3 %;;3 %;
06G30;Mercator-Grundschule;33;6 %;6 %;;;
07G36;Grundschule am Dielingsgrund;33;6 %;6 %;;;
11G01;Sonnenuhr-Schule (Grundschule);33;6 %;3 %;;3 %;
03S03;Helene-Haeusler-Schule;34;6 %;;;6 %;
07G05;Havelland-Grundschule;34;6 %;6 %;;;
08G11;Schliemann-Schule (Grundschule);34;6 %;3 %;;3 %;
08G23;Zürich-Schule (Grundschule);34;6 %;6 %;;;
09K03;Fritz-Kühn-Schule (Integrierte Sekundarschule);34;6 %;6 %;;;
