Schule;Schulform;Bezirk;Gebaeudeklasse2016Neubau;Kessfaktor2016Neubau;Plankosten2016Neubau;Gebaeudeklasse2016Sanierung;Kessfaktor2016Sanierung;Plankosten2016Sanierung
Kurt-Juster - Schule;Sonderschule;Hamburg-Nord;3,6;0;275.522,69 €;3,6;0;526.469,33 €
Kurt-Körber-Gymnasium;Stadtteilschule;Hamburg-Mitte;2,9;2;318.000,00 €;;;
Lessing Stadtteilschule;Stadtteilschule;Harburg;;;;4,8;0;521.907,17 €
Maretstraße / Community Center;Grundschule / Stadtteilschule;Harburg;1,3;1;250.000,00 €;;;
Marion-Dönhoff-Gymnasium;Gymnasium;Altona;3,3;6;209.342,70 €;;;
Max-Brauer-Schule;Grundschule / Stadtteilschule;Altona;;;;4,1;5;60.048,88 €
Max-Schmeling-Stadtteilschule;Stadtteilschule;Wandsbek-Süd;2,4;2;5.206.143,74 €;2,4;2;1.915.293,60 €
Otto-Hahn-Schule;Stadtteilschule;Wandsbek-Süd;;;;3,6;2;3.370.886,50 €
ReBBZ Hamburg-Mitte;ReBBZ;Hamburg-Mitte;;;;3,3;0;886.562,22 €
ReBBZ Harburg;ReBBZ;Harburg;3,1;0;1.965.281,92 €;3,1;0;1.044.852,48 €
Rönneburg;Grundschule;Harburg;;;;4,7;4;2.587.265,07 €
Schule Alsterredder;Grundschule;Wandsbek-Nord;3,1;6;6.291.423,60 €;3,1;6;547.754,70 €





Bürgerschaft der Freien und Hansestadt Hamburg – 21. Wahlperiode Drucksache 21/2943
17
Anlage 􀀘
Schule Schulform Bezirk Projektart Gebäudeklasse
(gewichtet) Kessfaktor Plankosten
Schule An den Teichwiesen Grundschule Wandsbek-Nord Neubau 3,5 6 278.400,00 €
Sanierung 3,5 6 1.370.744,77 €
Schule Anna-Susanna-Stieg Grundschule Eimsbüttel Neubau 4,4 4 349.490,00 €
Sanierung 4,4 4 921.975,07 €
Schule auf der Uhlenhorst Grundschule Hamburg-Nord Neubau 4,7 5 2.198.649,60 €
Sanierung 4,7 5 5.584.036,21 €
Schule Bergstedt Grundschule Wandsbek-Nord Sanierung 4,3 6 74.516,83 €
Schule Bovestraße Grundschule Wandsbek-Süd Sanierung 4,8 5 335.477,04 €
Schule Brockdorffstraße Grundschule Wandsbek-Nord Sanierung 3,9 5 1.373.625,00 €
Schule Döhrnstraße Grundschule Eimsbüttel Neubau 3,0 5 60.000,00 €
Schule Eulenkrugstraße Grundschule Wandsbek-Nord Neubau 2,5 6 3.182.759,70 €
Sanierung 2,5 6 605.700,00 €
Schule Fahrenkrön Grundschule Wandsbek-Süd Neubau 3,9 5 169.888,00 €
Schule Forsmannstraße Grundschule Hamburg-Nord Neubau k.A. 5 2.420.000,00 €
