Schulnummer;Schulname;Adresse;PLZ;Ort;Beschreibung;Kostenansatz 
12Y03;Humboldt-Gymnasium;Hatzfeldtallee 2-4;13509;Berlin;Sanierung der oberen Etage;1.298 €
01G11;Kurt-Tucholsky-Grundschule;Rathenower Str. 18;10559;Berlin;Sanierung Sporthalle und Sanitär, 2. BA;600.000 €
01G15;Anne-Frank-Grundschule;Paulstr. 20B;10557;Berlin;Brandschutzmaßnahme, Sanierung Sporthalle;81.663 €
01G15;Anne-Frank-Grundschule;Paulstr. 20B;10557;Berlin;Sanierung Freifläche;241.549 €
01G27;Gesundbrunnen-Grundschule;Prinzenallee 8;13357;Berlin;Energ. Sanierung Dach, Fassade, Keller;1.460.000 €
01G36;Andersen-Grundschule;Kattegatstr. 26;13359;Berlin;Brandschutzmaßnahme;3.337 €
01G37;Heinrich-Seidel-Grundschule;Ramlerstr. 9-10;13355;Berlin;Sanierung Sportplatz;323.000 €
01Y11;Max-Planck-Schule;Singerstr. 8A;10179;Berlin;Energ. Sanierung Fassade, Dach, Eingangsbereich;900.000 €
01Y12;Gymnasium Tiergarten;Altonaer Str. 26;10555;Berlin;Sanierung Schulsporthalle, 2. BA;1.600.000 €
02G02;Hausburg-Grundschule;Hausburgstr. 20;10249;Berlin;Sanierung Fenster;242.952 €
02G03;Justus-von-Liebig-Grundschule;Liebigstr. 18A;10247;Berlin;Akustikmaßnahmen Sporthalle;96.615 €
02G08;Grundschule am Traveplatz;Jessnerstr. 24-32;10247;Berlin;Akustik- und Elektromaßnahmen;229.936 €
02G10;Modersohn-Grundschule;Niemannstr. 3;10245;Berlin;Laufbahnsanierung;13.872 €
02G13;Charlotte-Salomon-Grundschule;Großbeerenstr. 40;10965;Berlin;Schaffung barrierefreie Zugänge;37.072 €
02G20;Bürgermeister-Herz-Grundschule;Wilmsstr. 10;10961;Berlin;Akustikmaßnahmen Sporthalle;193.138 €
02G21;Reinhardswald-Grundschule;Gneisenaustr. 73-74;10961;Berlin;Sanierung Akustikunterdecke Sporthalle;179.575 €
02G27;Hunsrück-Grundschule;Manteuffelstr. 79;10999;Berlin;Sanierung Sportplatz, 1. BA;6.271 €
