Schulnummer;Schulname;Adresse;PLZ;Ort;Beschreibung;Kostenansatz 
01G35;Humboldthain-Grundschule;Grenzstr. 7;13355;Berlin;Sanierung Sanitär;250.000 €
01G42;Anna-Lindh-Grundschule;Guineastr. 17-18;13351;Berlin;Sanierung Sanitär;250.000 €
01G44;Allegro-Grundschule;Lützowstr. 83-85;10785;Berlin;Sanierung Sanitär;250.000 €
01Y12;Gymnasium Tiergarten;Altonaer Str. 26;10555;Berlin;Sanierung Sanitär;250.000 €
02G13;Charlotte-Salomon-Grundschule;Großbeerenstr. 40;10965;Berlin;Sanierung Sanitär;500.000 €
02G24;Otto-Wels-Grundschule;Alexandrinenstr. 12;10969;Berlin;Sanierung Sanitär;500.000 €
03G02;Heinrich-Roller-Grundschule;Heinrich-Roller-Str. 18;10405;Berlin;Sanierung Sanitär;3.266 €
03G05;Homer-Grundschule;Pasteurstr. 10-12;10407;Berlin;Sanierung Sanitär;26.350 €
03G09;Thomas-Mann-Grundschule;Greifenhagener Str. 58-59;10437;Berlin;Sanierung Sanitär;11.555 €
03G14;Bornholmer Grundschule;Ibsenstr. 17;10439;Berlin;Sanierung Sanitär;24.434 €
03G20;Grundschule im Moselviertel;Brodenbacher Weg 31;13088;Berlin;Sanierung Sanitär;16.151 €
03G21;Grundschule unter den Bäumen;Alt-Blankenburg 26;13129;Berlin;Sanierung Sanitär;11.865 €
03G32;Grundschule an den Buchen;Wilhelm-Wolff-Str. 19;13156;Berlin;Sanierung Sanitär;150.000 €
03G34;Mendel-Grundschule;Stiftsweg 3;13187;Berlin;Sanierung Sanitär;9.398 €
03G38;Grundschule im Blumenviertel;Syringenplatz 30;10407;Berlin;Sanierung Sanitär;2.653 €
03G39;Grundschule Wolkenstein;Neumannstr. 65;13189;Berlin;Sanierung Sanitär;7.371 €
03G41;Trelleborg-Schule;Thulestr. 39;13189;Berlin;Sanierung Sanitär;373.970 €
03K11;Wilhelm-von-Humboldt-Schule;Erich-Weinert-Str. 70;10439;Berlin;Sanierung Sanitär;22.785 €
03S07;Schule an der Heide;Hermann-Hesse-Str. 48-52;13156;Berlin;Sanierung Sanitär;13.588 €
03Y04;Heinrich-Schliemann-Gymnasium;Dunckerstr. 64;10439;Berlin;Sanierung Sanitär;11.786 €
03Y13;Felix-Mendelssohn-Bartholdy-Gymn.;Eugen-Schönhaar-Str. 18;10407;Berlin;Sanierung Sanitär;14.829 €
03Y14;Primo-Levi-Gymnasium;Pistoriusstr. 133;13086;Berlin;Sanierung Sanitär;300.000 €
04G01;Eichendorff-Grundschule;Goethestr. 19;10625;Berlin;Sanierung Sanitär;100.000 €
04G08;Mierendorff-Grundschule;Mierendorffstr. 20-24;10589;Berlin;Sanierung Sanitär;400.000 €
04G19;Grundschule am Rüdesheimer Platz;Rüdesheimer Str. 24-30;14197;Berlin;Sanierung Sanitär;70.000 €
04G22;Grunewald-Grundschule;Delbrückstr. 20A;14193;Berlin;Sanierung Sanitär;100.000 €
04G24;Carl-Orff-Grundschule;Berkaer Str. 9-10 +;14199;Berlin;Sanierung Sanitär;50.000 €
04Y06;Heinz-Berggruen-Schule;Bayernallee 4;14052;Berlin;Sanierung Sanitär;250.000 €
04Y08;Hildegard-Wegscheider-Gymnasium;Lassenstr. 16-20;14193;Berlin;Sanierung Sanitär;150.000 €
05G08;Konkordia-Grundschule;Elsflether Weg 26;13581;Berlin;Sanierung Sanitär - Sporthalle;120.000 €
05K03;Bertolt-Brecht-Oberschule;Wilhelmstr. 10;13595;Berlin;Sanierung Sanitär - Sporthalle;760.000 €
05S02;Paul-Moor-Schule;Adamstr. 24-25;13595;Berlin;Sanierung Sanitär;120.000 €
06G03;Johannes-Tews-Grundschule;Wasgenstr. 50;14129;Berlin;Sanierung Sanitär;250.000 €
06G32;Grundschule am Stadtpark Steglitz;Karl-Stieler-Str. 10-11;12167;Berlin;Sanierung Sanitär;200.000 €
06K06;Nikolaus-August-Otto-Schule;Tietzenweg 101;12203;Berlin;Sanierung Sanitär;250.000 €
