Schulnummer;Schulname;Adresse;PLZ;Ort;Beschreibung;Kostenansatz 
06Y10;Lilienthal-Gymnasium;Ringstr. 2-3;12203;Berlin;Sanierung Sanitär - Sporthalle;300.000 €
07G31;Carl-Sonnenschein-Grundschule;Am Hellespont 4-6;12109;Berlin;Sanierung Sanitär;250.000 €
07G34;Marienfelder-Schule;Erbendorfer Weg 13;12279;Berlin;Sanierung Sanitär;593.000 €
07Y07;Eckener-Gymnasium;Kaiserstr. 17-21;12105;Berlin;Sanierung Sanitär;157.000 €
08G11;Schliemann-Schule;Groß-Ziethener Chaussee 73;12355;Berlin;Sanierung Sanitär;250.000 €
08K11;Alfred-Nobel-Schule Filiale;Britzer Damm 164;12347;Berlin;Sanierung Sanitär;250.000 €
08Y01;Albrecht-Dürer-Schule;Emser Str. 132-137;12051;Berlin;Sanierung Sanitär;250.000 €
08Y03;Albert-Einstein-Schule;Parchimer Allee 109;12359;Berlin;Sanierung Sanitär;250.000 €
09G01;Bouché-Schule;Bouchestr. 5-10;12435;Berlin;Sanierung Sanitär - Sporthalle;255.000 €
09G09;Heide-Grundschule;Waldstr. 7;12489;Berlin;Sanierung Sanitär - Sporthalle;160.000 €
09S06;Schule am Plänterwald;Willi-Sänger-Str. 1;12457;Berlin;Sanierung Sanitär;300.000 €
09Y03;Archenhold-Gymnasium;Rudower Str. 7;12439;Berlin;Sanierung Sanitär;285.000 €
10G03;Selma-Lagerlöf-Grundschule;Wörlitzer Str. 31;12689;Berlin;Sanierung Sanitär;800.000 €
10G25;Grundschule am Schleipfuhl;Nossener Str. 85;12627;Berlin;Sanierung Sanitär;200.000 €
11G10;Schule im Ostseekarree;Barther Str. 27;13051;Berlin;Sanierung Sanitär - Sporthalle;100.000 €
11G11;Bernhard-Grzimek-Grundschule;Sewanstr. 184;10319;Berlin;Sanierung Sanitär - Sporthalle;360.000 €
11G25;Grundschule am Wäldchen;Wustrower Str. 28;13051;Berlin;Sanierung Sanitär - Sporthalle;100.000 €
11Y05;Hans-und-Hilde-Coppi-Oberschule;Römerweg 30-32;10318;Berlin;Sanierung Sanitär - Sporthalle;500.000 €
12G04;Till-Eulenspiegel-Grundschule;Humboldtstr. 8-13;13407;Berlin;Sanierung Sanitär;46.000 €
12G05;Kolumbus-Grundschule;Büchsenweg 23A;13409;Berlin;Sanierung Sanitär;46.000 €
12G15;Hoffmann-von-Fallersleben-GS;Ziekowstr. 80-88;13509;Berlin;Sanierung Sanitär;70.000 €
12G15;Hoffmann-von-Fallersleben-Grundschule;Ziekowstr. 80-88;13509;Berlin;Sanierung Sanitär;46.000 €
12G21;Grundschule am Fließtal;Seebadstr. 42-43;13467;Berlin;Sanierung Sanitär;46.000 €
12G28;Grundschule in den Rollbergen;Waldshuter Zeile 6;13469;Berlin;Sanierung Sanitär;46.000 €
12K02;Bettina-von-Arnim-Schule;Senftenberger Ring 49;13435;Berlin;Sanierung Sanitär;270.000 €
12K06;Benjamin-Franklin-Schule;Sommerfelder Str. 5-7;13509;Berlin;Sanierung Sanitär;250.000 €
