Schulnummer;Schulname;Adresse;PLZ;Ort;Beschreibung;Kostenansatz 
05K09;Schule am Staakener Kleeblatt;Brunsbütteler Damm 431-437;13591;Berlin;Erweiterung und Umbau der Schulanlage;2.006.000 €
05S03;Schule am Gartenfeld;Gartenfelder Straße 81;13599;Berlin;Erweiterung und Umbau der Schulanlage;3.500.000 €
05Y01;Freiherr-vom-Stein-Gymnasium;Galenstraße 40-44;13597;Berlin;Erweiterung und Umbau der Schulanlage, Neubau der Sporthalle;11.600.000 €
05Y02;Kant-Gymnasium;Bismarckstraße 54;13585;Berlin;Erweiterung der Schulanlage (Mensa);1.514.000 €
05Y03;Hans-Carossa-Gymnasium;Am Landschaftspark Gatow 40;14089;Berlin;Erweiterung der Schulanlage (Mensa);1.693.000 €
05Y04;Carl-Friedrich-von-Siemens-Gymnasium;Jungfernheideweg 79;13629;Berlin;Umbau und Sanierung der Schulanlage;3.800.000 €
05Y05;Lily-Braun-Gymnasium;Münsingerstraße 2;13597;Berlin;Neubau einer Sporthalle;5.800.000 €
06G07;Zinnowwald-Grundschule;Wilskistraße 78;14163;Berlin;Umbau von Teilflächen des Schulhofs;200.000 €
06G08;Schweizerhof-Grundschule;Leo-Baeck-Str. 28-30;14167;Berlin;Ausbau zur Ganztagsgrundschule;2.650.000 €
06G29;Grundschule am Karpfenteich;Hildburghauser Str. 135;12209;Berlin;Neubau einer zweifach Sporthalle;4.100.000 €
06G32;Grundschule am Stadtpark Steglitz;Karl-Stieler-Straße 10-11;12167;Berlin;Neubau einer Zwei-Feld-Sporthalle (Ersatzbau);4.100.000 €
06K03;Kopernikus-Oberschule;Lepsiusstraße 24-28;12163;Berlin;Umbau und Erweiterung des Standortes Lepsiusstraße;12.000.000 €
06K04;Bröndby-Schule;Dessauerstraße 63;12249;Berlin;Umbau von Teilflächen des Schulhofes;100.000 €
06Y03;Arndt-Gymnasium Dahlem;Königin-Luise-Str. 80-84;14195;Berlin;Erweiterung zu Vier-Zügigkeit und Neubau einer Mensa;7.106.000 €
06Y03;Arndt-Gymnasium Dahlem;Königin-Luise-Str. 80-84;14195;Berlin;Neubau einer Zwei-Feld-Sporthalle und des Schulsportplatzes;4.100.000 €
