Schulnummer;Schulname;Adresse;PLZ;Ort;Beschreibung;Kostenansatz 
04G06;Wald-Grundschule;Waldschulallee 83-93;14055;Berlin;Energetische Sanierung Haus 4 und 6, 1. BA;200.000 €
04G07;Ludwig-Cauer-Grundschule;Cauerstr. 36-38;10587;Berlin;Sanierung Elektro, Sprachalarmierungsanlage, 3. BA;180.000 €
04G07;Ludwig-Cauer-Grundschule;Cauerstr. 36-38;10587;Berlin;Sanierung Fenster, 4. BA;80.000 €
04G08;Mierendorff-Grundschule;Nordhauser Str. 22;10589;Berlin;Sanierung Sporthalle, 1. BA;149.000 €
04G09;Erwin-von-Witzleben-Grundschule;Halemweg 34;13627;Berlin;Sanierung Fenster, 3. BA;150.000 €
04G12;Schinkel-Grundschule;Nithackstr. 8;10585;Berlin;Sanierung Fenster, 2. BA;150.000 €
04G13;Nehring-Grundschule;Nehringstr. 9-10;14059;Berlin;Sanierung Fenster, 4. BA;100.000 €
04G14;Reinhold-Otto-Grundschule;Leistikowstr. 7-8;14050;Berlin;Sanierung Fenster, Akustikmaßnahme;80.000 €
04G17;Johann-Peter-Hebel-Grundschule;Emser Str. 50;10719;Berlin;Brandschutz, Bodenbelagsarbeiten;130.000 €
04G18;Ernst-Habermann-Grundschule;Prinzregentenstr. 33-34;10715;Berlin;Sanierung Schulhof und Schulsportanlage, 2. BA;270.000 €
04G20;Katharina-Heinroth-Grundschule;Münstersche Str. 15-17;10709;Berlin;Sanierung Schulhof, 1. BA;200.000 €
04G21;Halensee-Grundschule;Joachim-Friedrich-Str. 35-36;10711;Berlin;Sanierung Aula;130.000 €
04G22;Grunewald-Grundschule;Delbrückstr. 20A;14193;Berlin;Sanierung Haus 1, Fassade, Dach, Fenster, 3. BA;300.000 €
04G25;Cecilien-Schule;Nikolsburger Platz 5;10717;Berlin;Denkmalgerechte Sanierung Fassade;250.000 €
04G26;Birger-Forell-Grundschule;Koblenzer Str. 22-24;10715;Berlin;Schaffung 2. Rettungsweg;55.000 €
04G26;Birger-Forell-Grundschule;Koblenzer Str. 22-24;10715;Berlin;Sanierung Fenster, 3. BA;100.000 €
04S04;Reinfelder-Schule;Maikäferpfad 30;14055;Berlin;Sanierung Glasdach Kantine;100.000 €
04S07;Comenius-Schule;Gieselerstr. 4;10713;Berlin;Sanierung Aula, Beleuchtung, Akustik, Bühne, 2. BA;100.000 €
04Y01;Schiller-Gymnasium;Schillerstr. 125-127;10625;Berlin;Sanierung Fenster, 2. BA;100.000 €
04Y02;Wald-Gymnasium;Waldschulallee 95;14055;Berlin;Energetische Sanierung “Hirschhaus”, 2. BA;200.000 €
04Y04;Gottfried-Keller-Gymnasium;Olbersstr. 38;10589;Berlin;Sanierung Feuchtigkeitsschäden;0 €
04Y04;Gottfried-Keller-Gymnasium;Olbersstr. 38;10589;Berlin;Sanierung Sporthalle, Aula, Klassenräume, Flure;550.000 €
04Y04;Gottfried-Keller-Gymnasium;Olbersstr. 38;10589;Berlin;Sanierung Fenster, 4. BA;0 €
04Y07;Friedrich-Ebert-Gymnasium;Blissestr. 22;10713;Berlin;Sanierung Sporthalle;100.000 €
04Y08;Hildegard-Wegscheider-Gymnasium;Lassenstr. 16-20;14193;Berlin;Sanierung Sporthalle;120.000 €
04Y11;Goethe-Gymnasium;Gasteiner Str. 23;10717;Berlin;Sanierung Fassade, Fenster, 3. BA;310.000 €
05G03;Birken-Grundschule;Hügelschanze 8-9;13585;Berlin;Sanierung Fenster, Rauch-Wärme-Abzug (RWA);225.000 €
05G06;Siegerland-Grundschule;Hermann-Schmidt-Weg 4;13589;Berlin;Sanierung Sanitär;160.000 €
05G11;Robert-Reinick-Grundschule;Jungfernheideweg 33-48;13629;Berlin;Sanierung Keller (Feuchtigkeitsschäden);125.000 €
05G16;Zeppelin-Grundschule;Am kurzen Weg 1/9;13591;Berlin;Sanierung Sporthalle;325.000 €
05G17;Astrid-Lindgren-Grundschule;Südekumzeile 5;13591;Berlin;Sanierung Aula, 2. BA;50.000 €
05G18;Grundschule im Beerwinkel;Im Spektefeld 31;13589;Berlin;Klimawettbewerb: Entwässerung;25.000 €
05G19;Grundschule am Ritterfeld;Schallweg 31;14089;Berlin;Sanierung Sanitär Sporthalle und Schulgebäude;275.000 €
05G23;Grundschule am Brandwerder;Spandauer Str. 86;13591;Berlin;Klimawettbewerb: Beleuchtung, Heizkörperventile;17.000 €
05G25/05S04;GS am Wasserwerk/Schule am Stadtrand;Pionierstr. 197;13589;Berlin;Klimawettbewerb: Entwässerung;20.000 €
05G26;Grundschule am Amalienhof;Weinmeisterhornweg 122;13593;Berlin;Sanierung Dach, 2. BA;150.000 €
05G29;Mary-Poppins-Grundschule;Am Flugplatz Gatow 20;14089;Berlin;Sanierung Fenster, Fassade, 2. BA;175.000 €
05K01;Martin-Buber-Oberschule;Im Spektefeld 31;13589;Berlin;Sanierung Sanitär, 2. BA;200.000 €
05K02;Carlo-Schmid-Oberschule;Lutoner Str. 15-19;13581;Berlin;Sanierung Sanitär;50.000 €
05K02;Carlo-Schmid-Oberschule;Lutoner Str. 15-19;13581;Berlin;Klimawettbewerb: Beleuchtung, Heizkörperventile;50.000 €
05K03;Bertolt-Brecht-Oberschule;Wilhelmstr. 10;13595;Berlin;Sanierung Sanitär Sporthalle, 2. BA;380.000 €
05K05;B.-Traven-Oberschule;Recklinghauser Weg 26-32;13583;Berlin;Sanierung Fenster, Fassade, 2. BA;269.000 €
05K07;Schule an der Jungfernheide;Lenther Steig 1-3;13629;Berlin;Klimawettbewerb: Sanierung Fenster Haus B;51.000 €
05K08;Schule an der Haveldüne;Jaczostr. 53-67;13595;Berlin;Klimawettbewerb: Fenster, Heizkörperthermostate;20.000 €
05S01;Schule am Grüngürtel;Hohenzollernring 40;13585;Berlin;Sanierung Dach Sporthalle;250.000 €
05S03;Schule am Gartenfeld;Gartenfelder Str. 81;13599;Berlin;Sanierung Sanitär, Brandschutzmaßnahmen;200.000 €
05S03;Schule am Gartenfeld;Gartenfelder Str. 81;13599;Berlin;Sanierung Dach;150.000 €
05XXX;Reaktivierung Schulgebäude;Seecktstr. 2;13581;Berlin;Schaffung Barrierefreiheit;650.000 €
05Y01;Freiherr-vom-Stein-Gymnasium;Galenstr. 40-44;13597;Berlin;Sanierung Fachräume;160.000 €
05Y02;Kant-Gymnasium;Falkenseer Damm 20;13597;Berlin;Sanierung Dach Sporthalle;250.000 €
06G02;Süd-Grundschule;Claszeile 56;14165;Berlin;Sanierung Elektro, 2. BA;250.000 €
06G06;Mühlenau-Grundschule;MolSporthalleeimer Str. 7;14195;Berlin;Sanierung Fenster;150.000 €
06G07;Zinnowwald-Grundschule;Wilskistr. 78;14163;Berlin;Brandschutzmaßnahmen, 2. BA;633.000 €
06G07;Zinnowwald-Grundschule;Wilskistr. 78;14163;Berlin;Sanierung Dach, 2. BA;90.000 €
06G12;Quentin-Blake-Grundschule;Hüttenweg 40;14195;Berlin;Klimawettbewerb: Sanierung Beleuchtung;17.000 €
06G14;Sachsenwald-Grundschule;Sachsenwaldstr. 20-21;12157;Berlin;Sanierung Elektro, 1. BA;350.000 €
06G15;Dunant-Grundschule;Gritznerstr. 19-23;12163;Berlin;Sanierung Sporthalle, 4. BA;700.000 €
06G24;Grundschule unter den Kastanien;Kastanienstr. 6-8;12209;Berlin;Sanierung Dach;300.000 €
06G33;33. Schule;Drakestr. 80;12205;Berlin;Sanierung Dach, Fenster, Fassade, Sanitär;1.143.000 €
06G33;33. Schule;Drakestr. 80;12205;Berlin;Sanierung Dach Sporthalle;382.000 €
06K01;John-F.-Kennedy-Schule;Teltower Damm 87-93;14167;Berlin;Akustikmaßnahmen, 1. BA;80.000 €
06K01;John-F.-Kennedy-Schule;Teltower Damm 87-93;14167;Berlin;Sanierung Dach, 3. BA;200.000 €
