BSN;NAME;AnzahlAktiveLehrkraefte;DarunterAnzahlAktiveQuereinsteigende;Davon1FachQuereinsteigende;Davon2FachQuereinsteigende;AnteilQuereinsteigendeAnLehrkraefte
04G05;Dietrich-Bonhoeffer-Grundschule;22;0;0;0;0%
04G06;Wald-Grundschule;29;0;0;0;0%
04G07;Ludwig-Cauer-Grundschule;27;0;0;0;0%
04G08;Mierendorff-Grundschule;38;5;4;1;13%
04G09;Erwin-von-Witzleben-Grundschule;26;0;0;0;0%
04G11;Helmuth-James-von-Moltke-Grundschule;38;6;2;4;16%
04G12;Schinkel-Grundschule;41;4;0;4;10%
04G13;Nehring-Grundschule;35;1;1;0;3%
04G14;Reinhold-Otto-Grundschule;29;1;1;0;3%
04G15;Charles-Dickens-Grundschule;39;2;2;0;5%
04G17;Johann-Peter-Hebel-Grundschule;40;1;1;0;3%
04G18;Ernst-Habermann-Grundschule;20;0;0;0;0%
04G19;Grundschule am Rüdesheimer Platz;59;2;1;1;3%
04G20;Katharina-Heinroth-Grundschule;40;0;0;0;0%
04G21;Halensee-Grundschule;29;1;0;1;3%
04G22;Grunewald-Grundschule;35;4;0;4;11%
04G23;Alt-Schmargendorf-Grundschule;33;0;0;0;0%
04G24;Carl-Orff-Grundschule;35;0;0;0;0%
04G25;Cecilien-Schule (Grundschule);31;3;1;2;10%
04G26;Birger-Forell-Grundschule;28;1;1;0;4%
04G27;Judith-Kerr-Grundschule;33;1;1;0;3%
05G01;Ernst-Ludwig-Heim-Grundschule;35;6;4;2;17%
05G02;Grundschule am Eichenwald;30;1;0;1;3%
05G04;Klosterfeld-Grundschule;34;4;1;3;12%
05G05;Christoph-Földerich-Grundschule;44;3;0;3;7%
05G06;Siegerland-Grundschule;33;3;0;3;9%
05G07;Lynar-Grundschule;46;6;1;5;13%
05G08;Konkordia-Grundschule;29;3;1;2;10%
05G10;Grundschule am Birkenhain;28;2;1;1;7%
05G11;Robert-Reinick-Grundschule;41;4;3;1;10%
05G12;Grundschule am Weinmeisterhorn;23;3;1;2;13%
05G13;Bernd-Ryke-Grundschule;34;2;1;1;6%
05G14;Linden-Grundschule;40;3;2;1;8%
05G15;Askanier-Grundschule;30;0;0;0;0%
05G16;Zeppelin-Grundschule;19;1;1;0;5%
05G17;Astrid-Lindgren-Grundschule;38;1;0;1;3%
05G18;Grundschule im Beerwinkel;45;6;3;3;13%
05G19;Grundschule am Ritterfeld;31;1;1;0;3%
05G20;Carl-Schurz-Grundschule;35;7;3;4;20%
05G21;Paul-Moor-Schule;33;2;2;0;6%
05G22;Christian-Morgenstern-Grundschule;46;7;5;2;15%
05G23;Grundschule am Brandwerder;25;2;2;0;8%
05G24;Grundschule am Windmühlenberg;21;0;0;0;0%
05G25;Grundschule am Wasserwerk;15;1;0;1;7%
05G26;Grundschule am Amalienhof;34;3;2;1;9%
05G27;Charlie-Rivel-Grundschule;44;5;3;2;11%
05G28;Grundschule an der Pulvermühle;26;4;3;1;15%
05G29;Mary-Poppins-Grundschule;32;4;2;2;13%
05G30;30. Schule (Grundschule);50;9;5;4;18%
06G01;Nord-Grundschule;30;2;2;0;7%
06G02;Süd-Grundschule;28;1;1;0;4%
06G03;Johannes-Tews-Grundschule;31;1;1;0;3%
06G04;Erich-Kästner-Grundschule;27;1;0;1;4%
06G05;Conrad-Schule (Grundschule);30;2;2;0;7%
06G06;Mühlenau-Grundschule;50;2;2;0;4%
06G07;Zinnowwald-Grundschule;33;3;1;2;9%
06G08;Schweizerhof-Grundschule;33;1;0;1;3%
06G09;Dreilinden-Grundschule;21;1;1;0;5%
06G10;Grundschule am Buschgraben;21;1;0;1;5%
06G12;Quentin-Blake-Grundschule;34;2;2;0;6%
06G14;Sachsenwald-Grundschule;34;1;0;1;3%
06G15;Dunant-Grundschule;36;0;0;0;0%
06G16;Rothenburg-Grundschule;21;1;1;0;5%
06G17;Grundschule am Insulaner;34;2;2;0;6%
06G18;Athene-Grundschule;37;3;1;2;8%
06G20;Alt-Lankwitzer Grundschule;31;1;0;1;3%
06G21;Paul-Schneider-Grundschule;31;1;0;1;3%
06G22;Giesensdorfer Grundschule;26;1;0;1;4%
06G23;Kronach-Grundschule;33;0;0;0;0%
06G24;Grundschule unter den Kastanien;30;1;0;1;3%
06G25;Clemens-Brentano-Grundschule;32;1;0;1;3%
06G26;Käthe-Kruse-Grundschule;24;0;0;0;0%
06G27;Grundschule am Königsgraben;24;2;2;0;8%
06G28;Ludwig-Bechstein-Grundschule;23;0;0;0;0%
06G29;Grundschule am Karpfenteich;28;0;0;0;0%
06G30;Mercator-Grundschule;35;2;1;1;6%
06G31;Grundschule an der Bäke;33;2;2;0;6%
06G32;Grundschule am Stadtpark Steglitz;37;2;0;2;5%
06G33;Friedrich-Drake-Grundschule;14;1;0;1;7%
07G01;Spreewald-Grundschule;28;2;2;0;7%
07G02;Finow-Grundschule;44;2;1;1;5%
07G03;Werbellinsee-Grundschule;37;1;1;0;3%
07G05;Havelland-Grundschule;32;1;1;0;3%
07G06;Sternberg-Grundschule;25;1;1;0;4%
07G07;Lindenhof-Grundschule;29;0;0;0;0%
07G10;Teltow-Grundschule;42;5;1;4;12%
07G12;Scharmützelsee-Grundschule;38;1;0;1;3%
07G13;Neumark-Grundschule;26;0;0;0;0%
07G14;Löcknitz-Grundschule;26;1;0;1;4%
07G15;Fläming-Grundschule;46;3;2;1;7%
07G16;Ruppin-Grundschule;41;2;2;0;5%
07G17;Stechlinsee-Grundschule;35;0;0;0;0%
07G18;Grundschule am Barbarossaplatz;35;0;0;0;0%
07G19;Paul-Simmel-Grundschule;37;1;0;1;3%
07G20;Maria-Montessori-Grundschule;36;3;1;2;8%
