BSN;NAME;AnzahlAktiveLehrkraefte;DarunterAnzahlAktiveQuereinsteigende;Davon1FachQuereinsteigende;Davon2FachQuereinsteigende;AnteilQuereinsteigendeAnLehrkraefte
07K11;Hugo-Gaudig-Schule;45;2;1;1;4%
07K12;Friedenauer Gemeinschaftsschule;84;4;1;3;5%
07K13;Schule am Berlinickeplatz (Integrierte Sekundarschule);36;2;1;1;6%
08K01;Walter-Gropius-Schule (Gemeinschaftsschule);95;2;0;2;2%
08K02;Hermann-von-Helmholtz-Schule;72;10;3;7;14%
08K03;Otto-Hahn-Schule;74;5;0;5;7%
08K04;Heinrich-Mann-Schule;40;6;2;4;15%
08K05;Clay-Schule;105;4;0;4;4%
08K06;Fritz-Karsen-Schule (Gemeinschaftsschule);117;6;2;4;5%
08K08;Gemeinschaftsschule auf dem Campus Rütli;85;0;0;0;0%
08K09;Röntgen-Schule;43;1;0;1;2%
08K10;Zuckmayer-Schule;40;4;0;4;10%
08K11;Alfred-Nobel-Schule;55;2;0;2;4%
08K12;Kepler-Schule;38;3;0;3;8%
08K13;Gemeinschaftsschule Campus Efeuweg;76;11;6;5;14%
09A07;Flatow-Oberschule;39;0;0;0;0%
09K01;Merian-Schule (Integrierte Sekundarschule);78;1;0;1;1%
09K02;Anna-Seghers-Schule (Gemeinschaftsschule);91;2;1;1;2%
09K03;Fritz-Kühn-Schule (Integrierte Sekundarschule);36;3;2;1;8%
09K04;Isaac-Newton-Schule (Integrierte Sekundarschule);34;0;0;0;0%
09K05;Wilhelm-Bölsche-Schule (Integrierte Sekundarschule);43;1;0;1;2%
09K06;Hans-Grade-Schule (Integrierte Sekundarschule);36;1;1;0;3%
09K07;Sophie-Brahe-Gemeinschaftsschule;66;3;0;3;5%
09K08;Schule an der Dahme (Integrierte Sekundarschule);39;0;0;0;0%
09K09;Grünauer Gemeinschaftsschule;73;3;1;2;4%
10K01;Rudolf-Virchow-Schule;97;6;1;5;6%
10K02;Ernst-Haeckel-Schule;58;0;0;0;0%
10K03;Kerschensteiner-Schule;26;0;0;0;0%
10K05;Jean-Piaget-Schule;42;0;0;0;0%
10K06;Georg-Klingenberg-Schule;32;3;0;3;9%
10K07;Caspar-David-Friedrich-Schule;45;2;1;1;4%
10K08;Johann-Julius-Hecker-Schule;36;0;0;0;0%
10K09;Konrad-Wachsmann-Schule;39;1;1;0;3%
10K10;Wolfgang-Amadeus-Mozart-Schule (Gemeinschaftsschule);68;7;2;5;10%
10K11;Marcana-Schule (Gemeinschaftsschule);22;1;0;1;5%
10K12;Gretel-Bergmann-Gemeinschaftsschule;93;5;2;3;5%
11A07;Schul- und Leistungssportzentrum Berlin (Sportforum);141;1;1;0;1%
11K01;Alexander-Puschkin-Schule;42;0;0;0;0%
11K02;Mildred-Harnack-Schule;73;3;1;2;4%
11K04;Gutenberg-Schule;72;0;0;0;0%
11K05;Fritz-Reuter-Schule;66;2;2;0;3%
11K06;Schule am Rathaus;34;0;0;0;0%
11K07;Vincent-van-Gogh-Schule (Integrierte Sekundarschule);42;2;1;1;5%
11K08;George-Orwell-Schule;36;1;0;1;3%
11K09;Philipp-Reis-Schule (Integrierte Sekundarschule);39;3;1;2;8%
11K10;Grüner Campus Malchow (Gemeinschaftsschule);140;20;9;11;14%
11K11;Paul-Schmidt-Schule (Integrierte Sekundarschule);42;0;0;0;0%
11K12;Paul-und-Charlotte-Kniese-Schule (Gemeinschaftsschule);60;7;1;6;12%
12K01;Julius-Leber-Schule;40;3;0;3;8%
12K02;Bettina-von-Arnim-Schule;131;7;0;7;5%
12K03;Max-Beckmann-Schule (Integrierte Sekundarschule);94;4;1;3;4%
12K04;Paul-Löbe-Schule;54;2;1;1;4%
12K05;Gustav-Freytag-Schule (Integrierte Sekundarschule);44;3;2;1;7%
12K06;Benjamin-Franklin-Schule (Integrierte Sekundarschule);45;5;0;5;11%
12K07;Jean-Krämer-Schule (Integrierte Sekundarschule) Wittenau;58;5;0;5;9%
12K09;Carl-Benz-Schule (Integrierte Sekundarschule);37;1;0;1;3%
12K10;Carl-Bosch-Schule;38;2;1;1;5%
12K11;Albrecht-Haushofer-Schule;33;2;1;1;6%
12K12;Campus Hannah Höch (Gemeinschaftsschule);67;6;1;5;9%
01Y02;John-Lennon-Gymnasium;67;1;0;1;1%
01Y04;Musikgymnasium Carl Philipp Emanuel Bach;17;0;0;0;0%
01Y07;Französisches Gymnasium;64;0;0;0;0%
01Y08;Lessing-Gymnasium;76;4;0;4;5%
01Y09;Diesterweg-Schule (Gymnasium);50;1;0;1;2%
01Y11;Max-Planck-Schule (Gymnasium);67;0;0;0;0%
01Y12;Gymnasium Tiergarten;85;1;0;1;1%
02Y01;Andreas-Gymnasium;70;0;0;0;0%
02Y03;Heinrich-Hertz-Gymnasium;46;0;0;0;0%
02Y04;Georg-Friedrich-Händel-Gymnasium;45;1;0;1;2%
02Y05;Dathe-Gymnasium;68;0;0;0;0%
02Y06;Leibniz-Gymnasium;68;0;0;0;0%
02Y07;Robert-Koch-Gymnasium;48;1;0;1;2%
02Y08;Hermann-Hesse-Gymnasium;51;2;0;2;4%
03Y03;Käthe-Kollwitz-Gymnasium;68;0;0;0;0%
03Y04;Heinrich-Schliemann-Gymnasium;70;4;0;4;6%
03Y08;Carl-von-Ossietzky-Gymnasium;80;2;0;2;3%
03Y10;Rosa-Luxemburg-Gymnasium;94;8;0;8;9%
03Y13;Felix-Mendelssohn-Bartholdy-Gymnasium;69;1;0;1;1%
03Y14;Primo-Levi-Gymnasium;92;0;0;0;0%
03Y15;Max-Delbrück-Gymnasium;74;0;0;0;0%
03Y16;Robert-Havemann-Gymnasium;74;1;0;1;1%
03Y17;17. Schule (Gymnasium);19;1;1;0;5%
04Y01;Schiller-Gymnasium;82;1;1;0;1%
04Y02;Wald-Gymnasium;63;0;0;0;0%
04Y03;Sophie-Charlotte-Gymnasium;77;0;0;0;0%
04Y04;Gottfried-Keller-Gymnasium;66;0;0;0;0%
04Y05;Herder-Gymnasium;54;1;0;1;2%
04Y06;Heinz-Berggruen-Gymnasium;72;1;1;0;1%
04Y07;Friedrich-Ebert-Gymnasium;70;0;0;0;0%
04Y08;Hildegard-Wegscheider-Gymnasium;43;3;0;3;7%
04Y09;Walther-Rathenau-Gymnasium;43;1;0;1;2%
04Y10;Marie-Curie-Gymnasium;61;0;0;0;0%
04Y11;Goethe-Gymnasium;46;0;0;0;0%
05Y01;Freiherr-vom-Stein-Gymnasium;68;4;0;4;6%
05Y02;Kant-Gymnasium;52;2;0;2;4%
05Y03;Hans-Carossa-Gymnasium;84;1;0;1;1%
05Y04;Carl-Friedrich-von-Siemens-Gymnasium;46;5;4;1;11%
05Y05;Lily-Braun-Gymnasium;58;3;1;2;5%
06Y01;Schadow-Gymnasium;101;1;0;1;1%
06Y02;Droste-Hülshoff-Gymnasium;71;0;0;0;0%
06Y03;Arndt-Gymnasium Dahlem;64;0;0;0;0%
06Y04;Dreilinden-Gymnasium;52;1;1;0;2%
06Y05;Werner-von-Siemens-Gymnasium;61;0;0;0;0%
06Y06;Beethoven-Gymnasium;71;0;0;0;0%
06Y07;Paulsen-Gymnasium;54;2;0;2;4%
06Y08;Hermann-Ehlers-Gymnasium;50;3;0;3;6%
06Y09;Fichtenberg-Oberschule;69;1;1;0;1%
06Y10;Lilienthal-Gymnasium;58;1;0;1;2%
06Y11;Goethe-Gymnasium Lichterfelde;66;0;0;0;0%
06Y12;Willi-Graf-Gymnasium;46;0;0;0;0%
06Y13;Gymnasium Steglitz;72;0;0;0;0%
07Y01;Robert-Blum-Gymnasium;64;2;0;2;3%
07Y02;Rückert-Gymnasium;57;0;0;0;0%
07Y03;Rheingau-Gymnasium;63;0;0;0;0%
07Y04;Paul-Natorp-Gymnasium;65;2;0;2;3%
07Y05;Luise-Henriette-Gymnasium;54;1;0;1;2%
07Y06;Askanisches Gymnasium;52;0;0;0;0%
07Y07;Eckener-Gymnasium;62;1;0;1;2%
07Y08;Ulrich-von-Hutten-Gymnasium;64;0;0;0;0%
07Y09;Georg-Büchner-Gymnasium;50;0;0;0;0%
08Y01;Albrecht-Dürer-Gymnasium;48;0;0;0;0%
08Y02;Albert-Schweitzer-Gymnasium;55;1;1;0;2%
08Y03;Albert-Einstein-Gymnasium;101;1;0;1;1%
08Y04;Ernst-Abbe-Gymnasium;47;2;0;2;4%
08Y05;Leonardo-da-Vinci-Gymnasium;62;1;0;1;2%
08Y06;Hannah-Arendt-Gymnasium;60;2;0;2;3%
09Y03;Archenhold-Gymnasium;49;1;0;1;2%
09Y04;Anne-Frank-Gymnasium;65;0;0;0;0%
09Y05;Alexander-von-Humboldt-Gymnasium;49;1;0;1;2%
09Y06;Gerhart-Hauptmann-Gymnasium;54;0;0;0;0%
09Y10;Gebrüder-Montgolfier-Gymnasium;63;0;0;0;0%
09Y11;Emmy-Noether-Gymnasium;67;0;0;0;0%
10Y01;Tagore-Gymnasium;65;2;1;1;3%
10Y02;Otto-Nagel-Gymnasium;62;1;0;1;2%
10Y03;Wilhelm-von-Siemens-Gymnasium;66;1;0;1;2%
10Y08;Sartre-Gymnasium;53;2;1;1;4%
10Y11;Melanchthon-Gymnasium;60;0;0;0;0%
11Y02;Johann-Gottfried-Herder-Gymnasium;68;3;0;3;4%
11Y05;Hans-und-Hilde-Coppi-Oberschule;53;0;0;0;0%
11Y09;Barnim-Gymnasium;98;1;0;1;1%
11Y10;Manfred-von-Ardenne-Gymnasium;46;0;0;0;0%
11Y11;Immanuel-Kant-Gymnasium;59;0;0;0;0%
12Y01;Friedrich-Engels-Gymnasium;79;1;0;1;1%
12Y02;Europäisches Gymnasium Bertha-von-Suttner;92;3;1;2;3%
12Y03;Humboldt-Gymnasium;101;5;1;4;5%
12Y04;Gabriele-von-Bülow-Gymnasium;66;0;0;0;0%
12Y05;Georg-Herwegh-Gymnasium;71;3;0;3;4%
12Y06;Schulfarm Insel Scharfenberg;46;2;0;2;4%
12Y07;Romain-Rolland-Gymnasium;80;0;0;0;0%
12Y08;Thomas-Mann-Gymnasium;74;0;0;0;0%
01S01;Schule am Zille-Park;34;3;2;1;9%
01S05;Schule in der Charité;55;1;0;1;2%
01S06;Albert-Gutzmann-Schule;32;3;1;2;9%
01S07;Charlotte-Pfeffer-Schule;23;1;0;1;4%
02S01;Temple-Grandin-Schule;38;0;0;0;0%
02S02;Gustav-Meyer-Schule;33;4;2;2;12%
02S03;Margarethe-von-Witzleben-Schule;40;3;1;2;8%
02S06;Liebmann-Schule;19;3;1;2;16%
03S03;Helene-Haeusler-Schule;35;0;0;0;0%
03S06;Schule am Birkenhof;15;0;0;0;0%
03S07;Schule an der Heide;12;0;0;0;0%
03S08;Panke-Schule;24;0;0;0;0%
03S09;Schule an der Strauchwiese;19;0;0;0;0%
03S10;Marianne-Buggenhagen-Schule;46;3;2;1;7%
04S02;Arno-Fuchs-Schule;32;0;0;0;0%
04S04;Reinfelder-Schule;61;0;0;0;0%
04S05;Ernst-Adolf-Eschke-Schule für Gehörlose;42;0;0;0;0%
04S06;Finkenkrug-Schule;25;0;0;0;0%
04S07;Comenius-Schule;101;3;1;2;3%
05S01;Schule am Grüngürtel;15;0;0;0;0%
05S03;Schule am Gartenfeld;28;2;2;0;7%
05S04;Schule am Stadtrand;33;1;0;1;3%
06S01;Pestalozzi-Schule;41;2;1;1;5%
06S02;Biesalski-Schule;48;2;0;2;4%
06S03;Peter-Frankenfeld-Schule;21;0;0;0;0%
06S05;J.-A.-Zeune-Schule für Blinde und Berufsfachschule Dr. Silex;41;0;0;0;0%
07S01;Prignitz-Schule;19;3;2;1;16%
07S03;Steinwald-Schule;21;0;0;0;0%
07S04;Marianne-Cohn-Schule;22;0;0;0;0%
08S01;Adolf-Reichwein-Schule;30;1;1;0;3%
08S04;Schule am Zwickauer Damm;30;2;0;2;7%
08S05;Schule am Hasenhegerweg;13;0;0;0;0%
08S06;Hans-Fallada-Schule;22;0;0;0;0%
08S07;Schule am Bienwaldring;39;0;0;0;0%
08S08;Schilling-Schule;53;2;2;0;4%
08S09;Schule an der Windmühle;17;0;0;0;0%
09S03;Albatros-Schule;29;1;0;1;3%
09S04;Ahorn-Schule;28;1;1;0;4%
09S05;Schule am Altglienicker Wasserturm;7;0;0;0;0%
09S06;Schule am Wildgarten;30;0;0;0;0%
10S04;Schule am Pappelhof;29;2;1;1;7%
10S07;Schule am Rosenhain;39;0;0;0;0%
10S08;Schule am Mummelsoll;30;1;0;1;3%
11S02;Schule am Fennpfuhl;25;0;0;0;0%
11S04;Paul-und-Charlotte-Kniese-Schule;9;1;1;0;11%
11S05;Schule am grünen Grund;33;8;3;5;24%
11S06;Selma-Lagerlöf-Schule;24;1;0;1;4%
11S07;Carl-von-Linné-Schule;77;4;0;4;5%
11S08;Schule am Breiten Luch;28;4;2;2;14%
11S12;Nils-Holgersson-Schule;40;0;0;0;0%
12S01;Stötzner-Schule;24;2;1;1;8%
12S03;Lauterbach-Schule;30;0;0;0;0%
12S04;Schule am Park;33;1;0;1;3%
12S05;Wiesengrund-Schule;21;4;0;4;19%
12S06;Toulouse-Lautrec-Schule;38;6;2;4;16%
01A04;Berlin-Kolleg;66;0;0;0;0%
03A04;Abendgymnasium Prenzlauer Berg;22;1;0;1;5%
03A05;Volkshochschule Pankow;5;0;0;0;0%
04A04;Charlotte-Wolff-Kolleg;30;1;0;1;3%
04A06;Peter-A.-Silbermann-Schule;15;0;0;0;0%
05A03;Volkshochschule Spandau;5;0;0;0;0%
06A05;Volkshochschule Steglitz-Zehlendorf;19;0;0;0;0%
07A05;Kolleg Schöneberg;40;0;0;0;0%
07A06;Volkshochschule Tempelhof-Schöneberg;10;0;0;0;0%
09A05;Treptow-Kolleg;39;0;0;0;0%
09A06;Volkshochschule Treptow-Köpenick;6;0;0;0;0%
10A04;Victor-Klemperer-Kolleg;43;0;0;0;0%
01B01;OSZ Banken, Immobilien und Versicherungen;103;0;0;0;0%
01B02;Staatliche Technikerschule Berlin;86;5;2;3;6%
01B03;OSZ Kommunikations-, Informations- und Medientechnik;89;2;0;2;2%
01B04;OSZ Gesundheit I;102;7;0;7;7%
01B05;Staatliche Wirtschaftsfachschule für Hotellerie und Gastronomie Berlin;23;0;0;0;0%
02B01;August-Sander-Schule;93;1;0;1;1%
02B02;Hans-Böckler-Schule (OSZ Konstruktionsbautechnik);70;4;2;2;6%
02B03;OSZ Bekleidung und Mode;69;1;0;1;1%
02B04;OSZ Handel 1;200;0;0;0;0%
02B05;Jane-Addams-Schule (OSZ Sozialwesen);144;6;0;6;4%
03B02;Berufliche Schule für Sozialwesen Pankow;57;1;0;1;2%
03B04;Brillat-Savarin-Schule (OSZ Gastgewerbe);151;0;0;0;0%
03B06;Konrad-Zuse-Oberschule;44;0;0;0;0%
03B07;Elinor-Ostrom-Schule (OSZ Bürowirtschaft und Dienstleistungen);93;2;0;2;2%
03B08;Staatliche Ballettschule Berlin und Schule für Artistik;68;0;0;0;0%
03B10;OSZ Bau- und Holztechnik;181;4;1;3;2%
04B01;Loschmidt-Oberschule;51;0;0;0;0%
04B02;Hans-Litten-Schule (OSZ Recht und Wirtschaft);119;5;0;5;4%
04B03;OSZ Kraftfahrzeugtechnik;71;4;0;4;6%
04B04;Ruth-Cohn-Schule (OSZ Sozialwesen);92;3;1;2;3%
04B05;Anna-Freud-Schule (OSZ Sozialwesen);140;9;1;8;6%
04B06;Leopold-Ullstein-Schule (OSZ Wirtschaft);63;1;0;1;2%
04B07;OSZ Körperpflege;68;1;0;1;1%
04B08;Kläre-Bloch-Schule;22;0;0;0;0%
05B01;OSZ TIEM (Technische Informatik, Industrieelektronik und EnergieManagement);102;4;0;4;4%
05B02;Knobelsdorff-Schule (OSZ Bautechnik I);144;2;0;2;1%
06B01;Peter-Lenné-Schule (OSZ Natur und Umwelt);85;2;1;1;2%
06B02;Louise-Schroeder-Schule (OSZ Bürowirtschaft und Verwaltung);146;1;0;1;1%
06B03;OSZ Bürowirtschaft I;77;0;0;0;0%
06B04;Wilhelm-Ostwald-Schule (OSZ Gestaltung);99;3;1;2;3%
07B02;Marie-Elisabeth-Lüders-Oberschule;47;2;0;2;4%
07B03;OSZ Lotis (Logistik, Touristik und Steuern);117;1;0;1;1%
08B01;Annedore-Leber-Oberschule;53;1;0;1;2%
08B02;Lise-Meitner-Schule (OSZ Chemie, Physik und Biologie);122;6;0;6;5%
08B04;OSZ Informations- und Medizintechnik;144;12;2;10;8%
08B05;Carl-Legien-Schule;32;0;0;0;0%
09B03;Hermann-Scheer-Schule (OSZ Wirtschaft);83;3;1;2;4%
10B01;Oscar-Tietz-Schule (OSZ Handel II);78;0;0;0;0%
10B02;Rahel-Hirsch-Schule (OSZ Gesundheit/Medizin);84;3;0;3;4%
11B01;Hein-Moeller-Schule (OSZ Energietechnik II);63;10;2;8;16%
11B02;Max-Taut-Schule (OSZ Gebäude, Umwelt, Technik);102;10;3;7;10%
11B04;Friedrich-List-Schule (OSZ Büromanagement und Wirtschaftssprachen);86;2;0;2;2%
12B01;Georg-Schlesinger-Schule (OSZ Maschinenund Fertigungstechnik);84;6;2;4;7%
12B02;Emil-Fischer-Schule (OSZ Ernährung und Lebensmitteltechnik);119;3;0;3;3%
12B03;Ernst-Litfaß-Schule (OSZ Mediengestaltung und Medientechnologie);83;3;0;3;4%
