BSN;Schulname;Klassenfrequenz-Grundschule-1-6;Klassenfrequenz-ISS-7-10;Klassenfrequenz-Gymnasium-7-10;Klassenfrequenz-Sonderp
07G01;Spreewald-Grundschule;20,0;;;
07G06;Sternberg-Grundschule;21,1;;;
07G07;Lindenhof-Grundschule;22,5;;;
07G10;Teltow-Grundschule;21,2;;;
07G13;Neumark-Grundschule;20,6;;;
07G24;Tempelherren-Grundschule;22,1;;;
07G25;Mascha-Kaléko-Grundschule;21,7;;;
07G27;Rudolf-Hildebrand-Grundschule;23,8;;;
07G34;Marienfelder Schule (Grundschule);22,0;;;
07G35;Nahariya-Grundschule;23,2;;;
07K04;Theodor-Haubach-Schule;;25,1;;
07K07;Johanna-Eck-Schule (Integrierte Sekundarschule);;23,5;;
07K09;Gustav-Langenscheidt-Schule;;19,9;;
07K10;Friedrich-Bergius-Schule;;25,8;;
07K11;Hugo-Gaudig-Schule;;25,0;;
07K12;Friedenauer Gemeinschaftsschule;24,0;22,2;;
07K13;Schule am Berlinickeplatz (Integrierte Sekundarschule);;24,1;;
07P06;Katholische Schule Sankt Hildegard;;;;10,5
07S01;Prignitz-Schule;;;;8,6
07S03;Steinwald-Schule;;;;6,2
07S04;Marianne-Cohn-Schule;;;;7,6
08G01;Rixdorfer Schule (Grundschule);21,5;;;
08G02;Theodor-Storm-Schule (Grundschule);19,6;;;
08G03;Hans-Fallada-Schule (Grundschule);19,8;;;
08G05;Elbe-Schule (Grundschule);20,9;;;
08G06;Karl-Weise-Schule (Grundschule);21,7;;;
08G07;Hermann-Boddin-Schule (Grundschule);22,3;;;
08G08;Karlsgarten-Schule (Grundschule);22,5;;;
08G09;Regenbogen-Schule (Grundschule);22,2;;;
08G12;Peter-Petersen-Schule (Grundschule);24,8;;;
08G14;Konrad-Agahd-Schule (Grundschule);21,0;;;
08G15;Hermann-Sander-Schule (Grundschule);20,3;;;
08G16;Hugo-Heimann-Schule (Grundschule);18,9;;;
08G17;Richard-Schule (Grundschule);23,8;;;
08G18;Eduard-Mörike-Schule (Grundschule);20,2;;;
08G19;Herman-Nohl-Schule (Grundschule);19,8;;;
08G20;Sonnen-Schule (Grundschule);17,3;;;
08G21;Silberstein-Schule (Grundschule);19,5;;;
08G22;Schule am Regenweiher (Grundschule);20,3;;;
08G23;Zürich-Schule (Grundschule);22,1;;;
08G24;Schule am Teltowkanal (Grundschule);23,6;;;
08G26;Christoph-Ruden-Schule (Grundschule);21,7;;;
08G31;Janusz-Korczak-Schule (Grundschule);19,8;;;
08G33;Schule am Fliederbusch (Grundschule);20,9;;;
08G34;Lisa-Tetzner-Schule (Grundschule);21,7;;;
08G35;Schule in der Köllnischen Heide (Grundschule);21,6;;;
08G36;Löwenzahn-Schule (Grundschule);18,6;;;
08K01;Walter-Gropius-Schule (Gemeinschaftsschule);21,3;25,9;;
08K02;Hermann-von-Helmholtz-Schule;20,8;26,3;;
08K03;Otto-Hahn-Schule;;24,3;;
08K04;Heinrich-Mann-Schule;;21,7;;
08K08;Gemeinschaftsschule auf dem Campus Rütli;22,9;25,0;;
08K09;Röntgen-Schule;;24,7;;
08K10;Zuckmayer-Schule;;25,1;;
08K11;Alfred-Nobel-Schule;;22,3;;
08K12;Kepler-Schule;;22,1;;
08K13;Gemeinschaftsschule Campus Efeuweg;21,0;25,4;;
08S01;Adolf-Reichwein-Schule;;;;9,9
08S04;Schule am Zwickauer Damm;;;;10,1
08S05;Schule am Hasenhegerweg;;;;10,6
08S06;Hans-Fallada-Schule;;;;8,8
08S07;Schule am Bienwaldring;;;;5,7
08S08;Schilling-Schule;;;;8,6
08S09;Schule an der Windmühle;;;;6,9
08Y02;Albert-Schweitzer-Gymnasium;;;27,4;
08Y04;Ernst-Abbe-Gymnasium;;;25,2;
09G11;Schule am Pegasuseck (Grundschule);21,7;;;
09G18;Schule in der Köllnischen Vorstadt (Grundschule);20,8;;;
09S03;Albatros-Schule;;;;7,0
09S04;Ahorn-Schule;;;;9,5
09S06;Schule am Wildgarten;;;;10,9
10G01;Paavo-Nurmi-Grundschule;20,7;;;
10G03;Selma-Lagerlöf-Grundschule;22,8;;;
10G04;Falken-Grundschule;21,4;;;
10G05;Ebereschen-Grundschule;19,4;;;
10G07;Karl-Friedrich-Friesen-Grundschule;23,5;;;
10G08;Wilhelm-Busch-Grundschule;23,0;;;
10G10;Peter-Pan-Grundschule;21,3;;;
10G14;Grundschule unter dem Regenbogen;24,6;;;
10G17;Beatrix-Potter-Grundschule;22,3;;;
10G18;Pusteblume-Grundschule;23,2;;;
10G19;Bücherwurm-Schule am Weiher (Grundschule);22,5;;;
10G25;Grundschule am Schleipfuhl;23,0;;;
10G28;Grundschule am Hollerbusch;21,6;;;
10G34;34. Schule (Grundschule);17,3;;;6,4
10K02;Ernst-Haeckel-Schule;;25,4;;
10K03;Kerschensteiner-Schule;;23,8;;
10K05;Jean-Piaget-Schule;;25,4;;
10K08;Johann-Julius-Hecker-Schule;;20,8;;
10K10;Wolfgang-Amadeus-Mozart-Schule (Gemeinschaftsschule);23,7;23,4;;
10K11;Marcana-Schule (Gemeinschaftsschule);20,9;;;13,0
10K12;Gretel-Bergmann-Gemeinschaftsschule;22,3;24,4;;
10P09;Sabine-Ball-Grundschule;20,5;;;
10S04;Schule am Pappelhof;;;;8,1
10S07;Schule am Rosenhain;;;;11,9
10S08;Schule am Mummelsoll;;;;6,8
11G02;Schule am Roederplatz (Grundschule);24,0;;;
11G06;Adam-Ries-Schule (Grundschule);24,7;;;
11G07;Hermann-Gmeiner-Schule (Grundschule);22,6;;;
11G09;Bürgermeister-Ziethen-Schule (Grundschule);23,7;;;
11G10;Schule im Ostseekarree (Grundschule);24,5;;;
11G11;Bernhard-Grzimek-Schule (Grundschule);22,9;;;
11G17;Brodowin-Schule (Grundschule);22,5;;;
11G22;Martin-Niemöller-Grundschule;24,5;;;
11G25;Schule am Wäldchen (Grundschule);22,8;;;
11G26;Randow-Schule (Grundschule);22,8;;;
11G28;Feldmark-Schule (Grundschule);22,3;;;
11G31;Schmetterlings-Grundschule;23,2;;;
11K06;Schule am Rathaus;;24,0;;
11K07;Vincent-van-Gogh-Schule (Integrierte Sekundarschule);;26,6;;
11K11;Paul-Schmidt-Schule (Integrierte Sekundarschule);;26,8;;
11K12;Paul-und-Charlotte-Kniese-Schule (Gemeinschaftsschule);21,8;25,1;;
11S02;Schule am Fennpfuhl;;;;8,7
11S04;Paul-und-Charlotte-Kniese-Schule;;;;5,0
11S06;Selma-Lagerlöf-Schule;;;;11,7
11S07;Carl-von-Linné-Schule;;;;6,5
11S08;Schule Am Breiten Luch;;;;10,0
11S12;Nils-Holgersson-Schule;;;;5,8
12G01;Havelmüller-Grundschule;19,9;;;
12G02;Grundschule am Schäfersee;23,6;;;
12G03;Reginhard-Grundschule;23,3;;;
12G05;Kolumbus-Grundschule;21,3;;;
12G06;Hausotter-Grundschule;22,3;;;
12G07;Mark-Twain-Grundschule;22,6;;;
12G09;Grundschule an der Peckwisch;22,6;;;
12G27;Chamisso-Grundschule;21,8;;;
12G28;Grundschule in den Rollbergen;24,5;;;
12G29;Hermann-Schulz-Grundschule;22,7;;;
12G30;Reineke-Fuchs-Grundschule;22,0;;;
12G32;Charlie-Chaplin-Grundschule;22,2;;;
12G33;Lauterbach-Grundschule;21,2;;;6,3
12K01;Julius-Leber-Schule;;25,0;;
12K04;Paul-Löbe-Schule;;23,7;;
12K05;Gustav-Freytag-Schule (Integrierte Sekundarschule);;25,3;;
12K07;Jean-Krämer-Schule (Integrierte Sekundarschule) Wittenau;;23,5;;
12K10;Carl-Bosch-Schule;;23,4;;
12K12;Campus Hannah Höch (Gemeinschaftsschule);21,6;22,2;;
12S01;Stötzner-Schule;;;;13,3
12S03;Lauterbach-Schule;;;;9,7
12S04;Schule am Park;;;;7,3
12S05;Wiesengrund-Schule;;;;6,8
12S06;Toulouse-Lautrec-Schule;;;;6,9
